"month","total","male","female","full time","part time","other","16-24","25-34","35-44","45-54","55-64","55+","65+","16-34","35-54","a","b","c1","c2","d","e","married","single","separated/widowed/divorced",
"january-2019","598.6","303.3","295.3","351.9","83.7","163.0","113.6","107.1","78.1","87.2","90.0","212.6","122.7","220.7","165.3","116.7","172.1","197.0","85.8","23.1","4.0","383.0","162.6","53.0",
"february-2019","953.6","512.8","440.8","657.1","95.4","201.1","117.7","172.9","152.5","197.7","199.5","312.8","113.2","290.6","350.2","144.1","304.2","290.7","116.8","73.7","24.1","576.0","248.8","128.7",
"march-2019","1062.0","590.0","472.1","551.8","204.8","305.4","29.1","226.5","174.0","250.4","179.2","382.1","202.9","255.6","424.4","134.5","366.9","328.2","136.4","53.5","42.6","798.2","151.3","112.5",
"april-2019","1427.8","740.6","687.2","738.6","267.8","421.5","98.5","273.0","267.8","268.8","353.1","519.8","166.7","371.5","536.5","185.5","628.0","243.6","210.1","76.6","84.1","971.1","305.3","151.4",
"may-2019","1205.2","621.5","583.6","623.3","181.8","400.1","100.4","179.6","251.5","222.1","219.9","451.7","231.7","279.9","473.6","81.2","413.0","354.3","233.5","66.8","56.4","906.8","188.1","110.3",
"june-2019","952.9","470.0","482.9","506.5","100.6","345.8","70.4","149.9","135.6","138.4","273.6","458.6","185.0","220.3","274.0","100.2","323.7","245.7","188.0","69.4","25.7","650.3","179.1","123.5",
"july-2019","1916.0","1064.7","851.3","1104.0","286.7","525.3","133.3","292.2","389.3","399.6","398.4","701.5","303.1","425.5","789.0","254.2","773.0","406.2","325.0","114.3","43.3","1365.0","293.4","257.7",
"august-2019","1667.8","715.0","952.8","693.7","261.0","713.1","120.1","256.2","387.5","236.8","352.7","667.2","314.4","376.3","624.3","189.0","566.4","501.5","230.4","152.0","28.5","1199.5","261.0","207.3",
"september-2019","947.4","519.5","427.9","467.5","43.8","436.0","53.8","36.1","154.0","145.8","293.9","557.6","263.7","89.9","299.8","99.6","263.7","310.5","170.0","63.8","39.7","649.9","139.6","157.9",
"october-2019","993.6","528.0","465.6","438.5","156.5","398.6","59.4","123.8","199.9","164.2","190.0","446.3","256.3","183.2","364.1","118.6","355.9","258.4","167.8","56.1","36.8","698.1","142.3","153.1",
"november-2019","956.5","401.1","555.3","398.5","120.0","438.0","120.7","189.0","174.4","112.3","212.3","360.1","147.8","309.7","286.6","68.8","335.3","346.4","113.1","72.3","20.5","541.7","310.4","89.0",
"december-2019","1128.9","576.5","552.4","470.0","179.2","479.7","152.5","237.7","167.7","214.7","160.6","356.4","195.8","390.2","382.3","45.3","422.7","471.8","78.7","51.3","59.2","837.9","179.1","111.9",
