year,month,16-24,25-34,35-44,45-54,55-64,65+
2018,may,2.3,1.8,0.9,1.2,2.8,1.2
2018,june,3.2,3.4,1.3,1.0,2.6,2.0
2018,july,1.5,2.4,1.7,1.3,2.0,2.1
2018,august,1.7,1.5,1.7,1.9,2.7,2.0
2018,september,3.0,2.9,1.9,1.3,1.9,2.7
2018,october,4.2,2.3,1.0,2.2,1.6,1.7
2018,november,1.6,2.2,1.7,1.5,2.5,1.9
2018,december,3.2,2.9,1.6,1.3,1.4,2.0
2019, ,,,,,,
2019,total,24.5,24.9,19.7,17.4,23.3,23.9
2019,january,2.4,1.7,1.3,1.4,2.1,1.7
2019,february,1.5,1.2,1.3,1.5,1.4,2.0
2019,march,3.0,2.5,1.0,0.6,1.4,1.3
2019,april,1.2,2.0,1.7,1.0,2.7,2.6
2019,may,1.3,2.4,1.1,1.6,2.3,2.1
2019,june,3.6,1.6,1.3,1.3,1.3,2.4
2019,july,2.1,3.2,1.8,1.5,2.2,2.8
2019,august,2.7,2.7,2.4,1.9,2.1,2.9
2019,september,1.7,1.8,1.3,1.2,2.0,2.1
2019,october,1.2,1.8,2.3,2.4,1.7,1.5
2019,november,1.9,1.9,1.9,1.4,1.9,1.1
2019,december,1.8,2.1,2.2,1.5,2.3,1.5
