"month","total","male","female","16-24","25-34","35-44","45-54","55-64","65+","yes","no","a","b","c1","c2","d","e",
"jan 2011","637","331","306","61","138","166","112","119","42","219","419","79","151","241","91","32","44",
"feb 2011","906","362","544","121","255","183","157","97","93","358","549","68","241","259","151","144","43",
"mar 2011","866","468","398","92","169","180","175","146","105","279","587","10","177","315","151","97","117",
"apr 2011","1209","589","620","137","185","331","193","226","137","447","763","74","253","434","342","52","53",
"may 2011","1093","521","572","115","129","221","175","327","126","303","790","112","253","327","206","117","77",
"jun 2011","1280","751","528","114","193","260","308","256","149","309","970","176","400","365","170","109","60",
"jul 2011","1593","814","779","154","247","429","324","222","217","539","1054","53","578","369","341","153","100",
"aug 2011","1466","761","705","151","208","240","327","318","223","429","1037","108","426","434","263","157","77",
"sep 2011","1135","603","532","119","118","242","278","192","185","287","848","89","297","337","202","149","60",
"oct 2011","1271","710","561","76","195","392","289","184","135","410","861","98","251","523","257","96","46",
"nov 2011","642","406","236","77","60","209","106","90","100","219","423","31","164","193","177","46","31",
"dec 2011","1262","646","616","161","251","409","185","175","81","394","868","54","447","427","214","72","47",
