"month","total","male","female","16-24","25-34","35-44","45-54","55-64","65+","yes","no","a","b","c1","c2","d","e",
"jan 2013","653","400","253","72","135","152","152","82","59","151","502","15","232","172","149","62","22",
"feb 2013","647","331","316","65","88","142","161","108","84","175","471","35","202","228","106","57","19",
"mar 2013","853","342","512","60","138","122","247","144","141","285","569","37","291","269","145","64","47",
"apr 2013","1135","718","417","75","180","353","251","138","138","377","758","66","245","336","372","99","17",
"may 2013","1095","521","574","95","128","226","248","198","200","336","760","68","346","385","136","110","51",
"jun 2013","1157","620","538","117","217","188","221","233","182","258","899","35","319","470","229","82","22",
"jul 2013","1395","596","798","133","169","497","264","151","180","602","793","132","479","373","227","123","59",
"aug 2013","1507","748","760","166","182","331","313","301","215","382","1126","141","449","490","240","117","71",
"sep 2013","1108","658","451","135","200","203","215","164","191","271","837","69","337","434","160","71","37",
"oct 2013","878","558","320","65","202","169","183","169","91","224","655","66","256","306","171","50","29",
"nov 2013","795","387","408","45","186","145","225","96","98","194","600","62","184","283","128","76","60",
"dec 2013","898","555","343","108","197","176","169","121","127","306","592","76","246","331","142","53","50",
