month,16-24,25-34,35-44,45-54,55-64,65+
jan 2009,39,134,74,202,75,66
feb 2009,87,91,165,163,67,74
mar 2009,116,112,169,164,102,87
apr 2009,136,154,392,150,154,142
may 2009,159,369,236,281,204,106
jun 2009,87,150,195,166,185,122
jul 2009,167,211,358,234,258,162
aug 2009,88,179,483,448,191,205
sep 2009,105,174,272,272,233,149
oct 2009,75,142,193,155,221,156
nov 2009,45,115,146,99,110,102
dec 2009,122,198,189,155,121,132
