month,16-24,25-34,35-44,45-54,55-64,65+
jan 2010,127,86,145,92,103,36
feb 2010,90,79,222,155,99,64
mar 2010,85,111,189,324,146,111
apr 2010,131,220,415,171,205,155
may 2010,78,227,243,185,101,155
jun 2010,67,154,203,324,221,147
jul 2010,139,182,322,261,197,166
aug 2010,105,181,227,263,172,178
sep 2010,88,151,293,287,179,172
oct 2010,71,222,243,233,217,131
nov 2010,89,96,213,143,84,141
dec 2010,164,165,178,201,156,116
