year,month,16-24,25-34,35-44,45-54,55-64,65+
2016,january,77.0,35.6,101.9,144.5,95.1,62.5
2016,february,99.5,147.7,187.4,143.0,134.3,128.7
2016,march,74.4,189.1,245.6,250.7,207.8,158.2
2016,april,64.1,116.8,152.2,245.5,240.9,191.0
2016,may,136.2,93.7,399.2,212.7,171.0,177.8
2016,june,43.4,167.1,154.1,154.1,168.2,184.3
2016,july,100.9,238.1,221.3,178.1,180.9,177.9
2016,august,49.9,193.4,275.2,421.5,135.7,267.7
2016,september,88.5,120.9,131.3,102.3,187.3,145.6
2016,october,74.4,230.3,158.3,127.3,127.7,227.5
2016,november,80.7,150.4,91.3,168.0,223.8,99.5
2016,december,81.7,186.0,195.5,108.9,226.7,183.6
