month,16-24,25-34,35-44,45-54,55-64,65+
january-2018,101.5,163.1,96.5,218.3,117.5,130.1
february-2018,112.9,126.1,161.2,221.8,117.3,140.1
march-2018,139.6,130.9,146.2,174.8,123.6,120.4
april-2018,79.2,153.9,225.0,239.8,175.5,184.8
may-2018,31.5,175.5,209.2,220.3,272.5,178.8
june-2018,103.5,98.3,179.0,167.0,152.5,208.2
july-2018,102.1,177.7,223.3,393.6,210.5,186.1
august-2018,64.4,304.2,346.9,258.3,317.5,239.1
september-2018,55.9,116.3,100.8,214.6,242.9,187.8
october-2018,41.4,154.9,127.6,143.9,180.5,188.9
november-2018,37.6,130.3,108.9,210.4,118.0,196.8
december-2018,70.6,144.2,182.7,141.9,138.8,147.4
