month,16-24,25-34,35-44,45-54,55-64,65+
jan 2014,32,124,56,64,60,35
feb 2014,115,102,111,187,156,59
mar 2014,83,94,217,179,144,103
apr 2014,199,217,269,225,116,148
may 2014,176,143,246,228,205,209
jun 2014,71,90,192,181,226,261
jul 2014,93,205,304,271,191,224
aug 2014,134,250,340,330,341,194
sep 2014,123,129,155,231,188,187
oct-dec 2014,416,668,583,918,381,340
