month,16-24,25-34,35-44,45-54,55-64,65+
jan 2015,65,102,105,158,170,89
feb 2015,110,168,132,161,150,80
mar 2015,139,112,201,166,209,154
apr 2015,70,181,141,215,259,187
may 2015,62,189,236,192,170,253
jun 2015,92,124,216,180,153,230
jul 2015,188,176,324,304,281,264
aug 2015,177,185,357,298,219,261
sep 2015,38,120,161,222,139,220
oct 2015,85,132,155,128,173,216
nov 2015,22,146,134,139,105,81
dec 2015,119,169,197,96,150,181
