month,16-24,25-34,35-44,45-54,55-64,65+
jan 2006,65,110,171,148,115,111
feb 2006,106,182,271,130,88,83
mar 2006,99,121,177,147,139,124
apr 2006,104,241,419,131,177,135
may 2006,79,108,276,208,170,141
jun 2006,123,209,383,212,131,182
jul 2006,133,253,244,312,186,146
aug 2006,211,333,389,306,172,216
sep 2006,118,269,181,213,199,166
oct 2006,82,124,415,161,229,125
nov 2006,114,106,243,96,77,162
dec 2006,205,98,369,173,74,183
