year,month,16-24,25-34,35-44,45-54,55-64,65+
2018,12,3.2,2.9,1.6,1.3,1.4,2.0
2019,1,2.4,1.7,1.3,1.4,2.1,1.7
2019,2,1.5,1.2,1.3,1.5,1.4,2.0
2019,3,3.0,2.5,1.0,0.6,1.4,1.3
2019,4,1.2,2.0,1.7,1.0,2.7,2.6
2019,5,1.3,2.4,1.1,1.6,2.3,2.1
2019,6,3.6,1.6,1.3,1.3,1.3,2.4
2019,7,2.1,3.2,1.8,1.5,2.2,2.8
2019,8,2.7,2.7,2.4,1.9,2.1,2.9
2019,9,1.7,1.8,1.3,1.2,2.0,2.1
2019,10,1.2,1.8,2.3,2.4,1.7,1.5
2019,11,1.9,1.9,1.9,1.4,1.9,1.1
2019,12,1.8,2.1,2.2,1.5,2.3,1.5
