month,16-24,25-34,35-44,45-54,55-64,65+
jan 2007,135,90,142,128,90,37
feb 2007,60,128,217,138,92,68
mar 2007,82,179,262,227,154,101
apr 2007,101,164,324,234,186,156
may 2007,107,182,359,225,224,144
jun 2007,186,211,214,165,137,177
jul 2007,85,233,325,240,199,137
aug 2007,201,238,366,233,209,110
sep 2007,128,130,283,213,192,154
oct 2007,95,167,301,243,167,129
nov 2007,163,150,236,234,88,139
dec 2007,129,169,359,114,144,173
