Attribute,ab,c1,c2,de,total
ab,1.0,0.6773442963217028,-0.17291243315487004,-0.747375417247177,0.6789451094417781
c1,0.6773442963217028,1.0,-0.048159265671667756,-0.7595384783309025,0.8031590506103056
c2,-0.17291243315487004,-0.048159265671667756,1.0,0.13776294521373764,0.42404824302449967
de,-0.747375417247177,-0.7595384783309025,0.13776294521373764,1.0,-0.5053826208569137
total,0.6789451094417781,0.8031590506103056,0.42404824302449967,-0.5053826208569137,1.0
