Attribute,access to car (1+),no access to car (0),total
access to car (1+),1.0,-0.21375462946378868,0.9110083107724415
no access to car (0),-0.21375462946378868,1.0,0.20727385748319194
total,0.9110083107724415,0.20727385748319194,1.0
