Attribute,16-24,25-34,35-44,45-54,55-64,65+,total
16-24,1.0,0.42678197846541877,-0.17573375583870182,0.43515025255297596,-0.17573375583870182,-0.6778302010921357,0.5020964452534338
25-34,0.42678197846541877,1.0,-0.7,0.4166666666666667,-0.16666666666666666,-0.18333333333333332,0.35
35-44,-0.17573375583870182,-0.7,1.0,-0.06666666666666667,0.25,0.18333333333333332,0.16666666666666666
45-54,0.43515025255297596,0.4166666666666667,-0.06666666666666667,1.0,-0.26666666666666666,0.03333333333333333,0.9
55-64,-0.17573375583870182,-0.16666666666666666,0.25,-0.26666666666666666,1.0,0.5333333333333333,0.06666666666666667
65+,-0.6778302010921357,-0.18333333333333332,0.18333333333333332,0.03333333333333333,0.5333333333333333,1.0,0.1
total,0.5020964452534338,0.35,0.16666666666666666,0.9,0.06666666666666667,0.1,1.0
