Attribute,16-24,25-34,35-44,45-54,55-64,65+,total
16-24,1.0,0.4951434117740456,-0.1489553752797682,0.11910413290677573,-0.18130471225755693,-0.561974891640313,0.38322384315128144
25-34,0.4951434117740456,1.0,-0.6289530339388028,0.3483532053038837,-0.30643869273297614,-0.12500987729426266,0.519970020437601
35-44,-0.1489553752797682,-0.6289530339388028,1.0,0.0838070569384955,0.4079594819148609,0.19609863306019984,0.1425908028874175
45-54,0.11910413290677573,0.3483532053038837,0.0838070569384955,1.0,-0.2240459608655956,0.3486370796004675,0.8152645081254599
55-64,-0.18130471225755693,-0.30643869273297614,0.4079594819148609,-0.2240459608655956,1.0,0.5418586367859096,0.1676677834172637
65+,-0.561974891640313,-0.12500987729426266,0.19609863306019984,0.3486370796004675,0.5418586367859096,1.0,0.40802768286133867
total,0.38322384315128144,0.519970020437601,0.1425908028874175,0.8152645081254599,0.1676677834172637,0.40802768286133867,1.0
