Attribute,ab,c1,c2,de,total
ab,1.0,0.7333333333333333,-0.06666666666666667,-0.5941474602165634,0.6666666666666666
c1,0.7333333333333333,1.0,0.05,-0.7447763937925935,0.7833333333333333
c2,-0.06666666666666667,0.05,1.0,-0.03347309635022892,0.5
de,-0.5941474602165634,-0.7447763937925935,-0.03347309635022892,1.0,-0.46025507481564765
total,0.6666666666666666,0.7833333333333333,0.5,-0.46025507481564765,1.0
