"Form of transport used on trip"
"Base: All respondents"

"All Scotland"
""," ","Gender",,"Age",,,,,,"Marital Status",,"Children in household",,"Car in household",,"Social Grade",,,,"Working Status",,,
"","Total","Male","Female","16-24","25-34","35-44","45-54","55-64","65+","Married","Not Married","Yes","No","Yes","No","AB","C1","C2","DE","Employed full or part time","In full or part time education","Unemployed/not working",
" ","","","","","","","","","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Unweighted Base","2324","1101","1223","203","413","336","435","535","402","1514","810","592","1732","1896","428","876","778","329","341","1236","177","258",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Total","142.7","71.6","71.2","30.4","28.2","21.3","17.5","22.7","22.7","83.4","59.3","37.3","105.5","108.7","34.0","50.2","52.3","18.7","21.5","77.2","16.0","16.7",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Form of transport used on trip","","","","","","","","","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Car - own/friends/family","87.4","42.7","44.7","13.4","16.1","14.3","11.8","15.6","16.3","60.7","26.7","24.7","62.7","78.8","8.6","33.3","30.5","11.1","12.5","47.1","6.0","9.7",
"","61.2%","59.7%","62.8%","44.1%","57.1%","67.1%","67.2%","68.7%","71.6%","72.8%","45.0%","66.4%","59.4%","72.4%","25.4%","66.2%","58.3%","59.4%","58.3%","61.0%","37.3%","58.0%",""

"Car - hired","1.9","1.2","0.7","0.5","1.1","0.3","-","-","-","0.9","1.0","0.3","1.6","1.6","0.3","0.6","0.3","0.8","0.2","1.4","0.1","0.4",
"","1.3%","1.7%","1.0%","1.5%","3.7%","1.4%","0.3%","0.2%","","1.0%","1.8%","0.9%","1.5%","1.5%","0.8%","1.2%","0.5%","4.3%","0.9%","1.8%","0.7%","2.3%",""

"Public transport","33.7","17.3","16.4","10.2","7.3","4.2","3.2","5.0","3.8","13.2","20.5","7.9","25.8","16.1","17.6","9.7","13.8","4.1","6.1","18.7","6.4","3.7",
"","23.6%","24.2%","23.1%","33.4%","25.8%","19.9%","18.6%","22.1%","16.9%","15.9%","34.5%","21.2%","24.5%","14.8%","51.9%","19.4%","26.4%","22.1%","28.2%","24.2%","39.7%","22.3%",""

"Train","17.4","10.4","7.0","6.3","4.5","2.1","1.3","2.1","1.1","6.9","10.5","4.6","12.8","9.4","8.0","5.0","7.0","2.6","2.9","9.8","4.0","1.8",
"","12.2%","14.5%","9.8%","20.8%","16.0%","9.7%","7.4%","9.2%","5.1%","8.3%","17.7%","12.3%","12.2%","8.7%","23.4%","9.9%","13.4%","13.7%","13.3%","12.7%","24.8%","11.1%",""

"A regular bus\coach","16.3","6.9","9.4","3.8","2.7","2.2","2.0","2.9","2.7","6.4","10.0","3.3","13.0","6.7","9.7","4.8","6.8","1.6","3.2","8.9","2.4","1.9",
"","11.4%","9.7%","13.2%","12.6%","9.8%","10.2%","11.2%","12.9%","11.8%","7.6%","16.8%","9.0%","12.3%","6.1%","28.5%","9.5%","12.9%","8.4%","14.9%","11.5%","14.9%","11.2%",""

"Organised coach tour","2.1","0.8","1.3","0.8","0.1","0.1","0.2","0.2","0.8","0.8","1.3","0.7","1.4","1.4","0.8","0.8","0.5","0.2","0.6","0.6","0.6","-",
"","1.5%","1.1%","1.9%","2.5%","0.5%","0.2%","1.2%","0.7%","3.6%","1.0%","2.2%","1.9%","1.3%","1.3%","2.2%","1.6%","1.0%","1.0%","2.8%","0.8%","3.9%","",""

"Taxi","3.4","2.2","1.2","1.5","0.7","0.4","0.5","0.1","0.2","1.1","2.3","1.0","2.4","1.7","1.7","1.5","0.9","0.2","0.7","2.2","0.8","0.2",
"","2.4%","3.1%","1.7%","5.1%","2.6%","1.8%","2.7%","0.3%","0.8%","1.3%","3.9%","2.6%","2.3%","1.5%","5.0%","3.0%","1.8%","1.2%","3.2%","2.8%","5.0%","1.4%",""

"Walked\on foot","8.8","4.2","4.6","3.4","1.9","1.2","0.7","1.0","0.6","3.4","5.4","0.8","8.1","4.8","4.0","2.7","3.8","1.5","0.8","4.3","1.7","2.1",
"","6.2%","5.9%","6.5%","11.2%","6.8%","5.7%","4.2%","4.4%","2.5%","4.1%","9.2%","2.0%","7.6%","4.5%","11.7%","5.3%","7.4%","8.0%","3.8%","5.6%","10.8%","12.9%",""

"Bicycle","1.0","0.7","0.3","0.2","0.1","0.2","0.2","0.1","-","0.5","0.5","0.2","0.7","0.6","0.4","0.3","0.4","-","0.2","0.4","0.3","0.2",
"","0.7%","1.0%","0.4%","0.7%","0.5%","1.1%","1.3%","0.6%","","0.6%","0.8%","0.6%","0.7%","0.6%","1.0%","0.7%","0.8%","0.2%","0.7%","0.5%","1.9%","1.2%",""

"Minibus","1.0","0.7","0.3","-","-","0.3","0.5","-","0.1","0.8","0.3","0.7","0.4","0.9","0.1","0.2","0.5","0.3","-","0.8","-","-",
"","0.7%","1.0%","0.5%","","0.2%","1.4%","2.9%","0.2%","0.6%","0.9%","0.5%","1.8%","0.3%","0.8%","0.3%","0.5%","0.9%","1.4%","0.2%","1.1%","","0.3%",""

"Motor cycle","0.2","-","0.2","-","-","-","-","0.2","-","0.2","-","-","0.2","0.2","-","-","-","0.2","-","-","-","-",
"","0.2%","","0.3%","","","","","0.9%","0.1%","0.3%","","","0.2%","0.2%","","","","1.1%","","","","",""

"Tube","0.1","-","0.1","0.1","-","-","-","-","-","0.1","-","-","0.1","-","0.1","-","0.1","-","-","0.1","-","-",
"","0.1%","","0.1%","0.3%","","","","","","0.1%","","","0.1%","","0.3%","","0.2%","","","0.1%","","",""

"Tram","0.3","0.1","0.2","-","0.1","0.1","0.1","-","0.1","0.1","0.1","0.1","0.2","0.3","-","0.2","0.1","-","-","0.2","-","-",
"","0.2%","0.1%","0.3%","","0.3%","0.3%","0.5%","","0.3%","0.2%","0.2%","0.3%","0.2%","0.3%","","0.3%","0.2%","","","0.3%","0.2%","",""

"Motorised caravan\campervan","0.2","0.1","0.1","-","-","-","-","0.1","0.1","0.1","0.1","-","0.2","0.1","-","0.1","-","-","0.1","-","-","0.1",
"","0.1%","0.2%","0.1%","","","","0.1%","0.4%","0.3%","0.1%","0.1%","","0.2%","0.1%","0.1%","0.3%","","","0.2%","","","0.3%",""

"Plane","1.1","0.7","0.4","0.4","0.3","-","0.1","-","0.3","0.6","0.5","0.4","0.7","0.9","0.1","0.3","0.7","-","-","0.8","-","-",
"","0.8%","1.0%","0.5%","1.2%","1.0%","","0.9%","","1.3%","0.7%","0.8%","1.0%","0.7%","0.9%","0.4%","0.7%","1.4%","","0.1%","1.0%","","",""

"Boat\ship\ferry","0.7","0.5","0.3","-","0.2","0.1","-","0.2","0.3","0.5","0.2","0.3","0.5","0.7","-","0.2","0.3","-","0.2","0.3","-","-",
"","0.5%","0.7%","0.4%","","0.7%","0.4%","","0.7%","1.3%","0.6%","0.4%","0.7%","0.4%","0.7%","0.1%","0.5%","0.6%","","0.9%","0.3%","","0.1%",""

"Lorry\truck\van","0.1","-","0.1","-","-","-","-","-","-","0.1","-","-","0.1","0.1","-","-","-","-","-","-","-","-",
"","0.1%","","0.2%","","","0.2%","","0.2%","0.2%","0.1%","0.1%","0.1%","0.1%","0.1%","0.1%","","0.1%","0.2%","0.2%","","","0.3%",""

"Other","0.7","0.3","0.4","-","0.2","0.1","-","0.2","0.1","0.3","0.3","0.2","0.5","0.5","0.2","0.1","0.2","0.2","0.1","0.3","0.1","0.2",
"","0.5%","0.4%","0.5%","","0.8%","0.5%","0.1%","0.8%","0.6%","0.4%","0.6%","0.6%","0.4%","0.4%","0.6%","0.3%","0.4%","1.2%","0.5%","0.3%","0.4%","0.9%",""
