"Form of transport used on trip"
"Base : All respondents"

"All Scotland"
"","","Sex",,"Age",,,,,,"MARITAL STATUS",,"CHILDREN IN HOUSEHOLD",,"CAR IN HOUSEHOLD",,"SOCIAL CLASS OF HOUSEHOLD",,,,"WORKING STATUS",,,
"","Total","Male","Female","16-24","25-34","35-44","45-54","55-64","65+","Married","Not married","Yes","No","Yes","No","AB","C1","C2","DE","Employed full or part time","In full or part time education","Unemployed/not working",
"Unweighted base","2536","1280","1256","315","620","423","487","372","319","1709","827","621","1915","2157","379","1041","761","359","375","1721","213","651",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Weighted base","154.3","71.4","82.9","30.5","28.2","23.5","28.2","21.9","21.9","98.3","55.9","38.3","116","128","26.3","51.7","51.3","29.6","21.6","100.8","17.1","39.3",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Any car (Net)","103.4","47","56.4","14.9","18.5","17.9","20","16.1","16.2","72.3","31.2","28","75.5","97.2","6.2","35.9","32","22.7","12.8","68.9","7.4","28.3",
"","67.1%","65.9%","68.1%","48.9%","65.5%","75.9%","70.8%","73.4%","73.7%","73.5%","55.8%","73.1%","65.1%","76%","23.7%","69.4%","62.3%","76.7%","59.4%","68.3%","43.1%","72.2%",""

"Car - own/friends/family","101.1","45.1","56","13.8","17.6","17.6","20","15.9","16","71.2","29.9","26.8","74.3","95.3","5.8","35.6","31.7","21","12.7","66.6","7.3","28.3",
"","65.5%","63.3%","67.5%","45.4%","62.5%","75%","70.8%","72.8%","73.2%","72.4%","53.5%","70.1%","64%","74.5%","22.1%","68.9%","61.8%","71%","58.8%","66.1%","42.9%","72%",""

"Car - hired","2.3","1.9","0.5","1.1","0.8","0.2","0","0.1","0.1","1","1.3","1.2","1.2","1.9","0.4","0.3","0.2","1.7","0.1","2.2","0","0.1",
"","1.5%","2.6%","0.6%","3.5%","3%","0.9%","0%","0.6%","0.5%","1.1%","2.3%","3.1%","1%","1.5%","1.6%","0.6%","0.5%","5.7%","0.6%","2.2%","0.3%","0.2%",""

"Public transport (Net)","25.6","11.7","13.9","8","5.1","2.4","4.2","2.6","3.3","12.1","13.6","4.3","21.3","12.4","13.3","8.1","10","2.5","5","15.5","5.2","5.5",
"","16.6%","16.4%","16.8%","26.1%","18.2%","10.3%","14.7%","12.1%","15.2%","12.3%","24.3%","11.4%","18.4%","9.7%","50.4%","15.7%","19.5%","8.4%","23.2%","15.4%","30.8%","14%",""

"Train","12.8","5.9","6.9","3.9","3.5","1.3","2.1","1.5","0.4","6.1","6.7","2.9","9.9","7.5","5.3","5","5.1","0.8","1.9","9.6","1.8","1.8",
"","8.3%","8.3%","8.3%","12.9%","12.3%","5.6%","7.5%","7%","2%","6.2%","11.9%","7.7%","8.5%","5.8%","20.2%","9.6%","9.8%","2.8%","9%","9.5%","10.8%","4.6%",""

"A regular bus\coach","12.8","5.8","7","4","1.7","1.1","2","1.1","2.9","5.9","6.9","1.4","11.4","4.9","7.9","3.2","5","1.6","3.1","5.9","3.4","3.7",
"","8.3%","8.2%","8.5%","13.3%","5.9%","4.6%","7.2%","5.1%","13.2%","6%","12.4%","3.7%","9.9%","3.8%","30.2%","6.1%","9.7%","5.5%","14.2%","5.8%","20%","9.4%",""

"Organised coach tour","2.2","1.3","0.9","0.3","0.3","0.2","0.6","0.2","0.6","1.5","0.7","0.3","1.9","2.2","0","0.4","1.2","0.3","0.4","1.4","0.3","0.5",
"","1.4%","1.9%","1.1%","1%","1%","0.7%","2.3%","1.1%","2.5%","1.5%","1.3%","0.7%","1.7%","1.7%","0%","0.7%","2.4%","1%","1.6%","1.4%","1.9%","1.3%",""

"Taxi","4.9","3.2","1.6","1.3","0.7","1.1","1","0.5","0.2","3.4","1.4","1.3","3.5","4.3","0.5","1.8","1.6","0.7","0.7","2.7","1.1","1.1",
"","3.1%","4.5%","2%","4.3%","2.6%","4.6%","3.7%","2.3%","0.9%","3.5%","2.5%","3.5%","3%","3.4%","2%","3.5%","3.1%","2.2%","3.4%","2.7%","6.2%","2.9%",""

"Walked\on foot","11.8","4.1","7.7","3.6","2.6","0.8","1.8","2","1","6.1","5.7","2.4","9.4","7","4.8","4","4.1","2","1.6","8.2","1.5","2.7",
"","7.6%","5.8%","9.3%","11.9%","9.1%","3.3%","6.4%","9.1%","4.6%","6.2%","10.1%","6.3%","8.1%","5.5%","18.2%","7.7%","8%","6.8%","7.6%","8.1%","8.8%","6.8%",""

"Bicycle","0.7","0.5","0.2","0.1","0.1","0.3","0.2","0","0","0.3","0.4","0.3","0.4","0.5","0.2","0.3","0.2","0.1","0.2","0.5","0.2","0",
"","0.5%","0.6%","0.3%","0.5%","0.4%","1.2%","0.6%","0%","0%","0.3%","0.7%","0.7%","0.4%","0.4%","0.8%","0.6%","0.3%","0.3%","0.7%","0.5%","1.1%","0.1%",""

"Minibus","0.7","0.4","0.3","0.3","0","0.1","0.2","0","0.2","0.4","0.3","0.1","0.6","0.7","0.1","0.3","0.4","0.1","0","0.2","0.3","0.3",
"","0.5%","0.6%","0.4%","0.8%","0.1%","0.3%","0.6%","0%","1%","0.4%","0.6%","0.3%","0.6%","0.5%","0.3%","0.6%","0.7%","0.2%","0%","0.2%","1.5%","0.7%",""

"Motor cycle","0.6","0.3","0.3","0.2","0.3","0","0","0.1","0","0.1","0.5","0.3","0.3","0.4","0.2","0.3","0.2","0","0","0.5","0.3","0.1",
