"Form of transport used on trip"
"Base: All respondents"

"All Scotland"
""," ","Gender",,"Age",,,,,,"Marital Status",,"Children in household",,"Car in household",,"Social Grade",,,,"Working Status",,,
"","Total","Male","Female","16-24","25-34","35-44","45-54","55-64","65+","Married","Not Married","Yes","No","Access to car (1+)","No access to car (0)","AB","C1","C2","DE","Employed/self-employed (full or part time)","In full or part time education","Unemployed/not working",
" ","","","","","","","","","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Unweighted Base","2577","1218","1359","263","540","293","442","518","521","1610","967","614","1963","2207","370","956","700","479","442","1494","189","230",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Total","151.1","72.9","78.2","33.7","30.6","19.5","20.2","23.9","23.2","81.9","69.2","44.0","107.0","127.3","23.8","49.7","42.3","30.6","28.5","88.1","16.4","16.1",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Form of transport used on trip","","","","","","","","","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Car - own/friends/family","92.6","41.0","51.6","16.6","17.7","11.7","13.8","17.3","15.5","55.5","37.0","26.1","66.4","86.4","6.2","31.0","25.9","20.9","14.6","54.4","7.9","9.3",
"","61.3%","56.2%","66.0%","49.2%","57.9%","60.3%","68.2%","72.4%","66.7%","67.8%","53.6%","59.3%","62.1%","67.9%","26.0%","62.4%","61.4%","68.5%","51.4%","61.8%","48.3%","57.9%",""

"Car - hired","6.4","5.8","0.6","4.3","0.8","0.8","0.1","0.2","0.1","1.8","4.6","4.4","2.0","6.0","0.4","4.4","0.8","0.4","0.9","5.6","0.4","0.1",
"","4.3%","8.0%","0.8%","12.7%","2.8%","4.0%","0.7%","1.0%","0.6%","2.2%","6.7%","10.0%","1.9%","4.7%","1.8%","8.8%","1.8%","1.3%","3.2%","6.3%","2.5%","0.3%",""

"Public transport","29.2","14.9","14.3","7.7","5.3","3.8","3.4","3.6","5.3","13.8","15.4","7.5","21.7","18.8","10.4","8.3","8.4","5.6","7.0","15.3","4.0","3.7",
"","19.3%","20.4%","18.3%","23.0%","17.4%","19.6%","16.9%","14.9%","23.0%","16.9%","22.3%","16.9%","20.3%","14.8%","43.8%","16.6%","19.9%","18.2%","24.5%","17.4%","24.6%","23.0%",""

"Train","16.0","8.6","7.4","4.9","3.2","3.0","1.7","1.8","1.3","7.8","8.2","5.3","10.7","11.7","4.3","5.4","4.4","3.0","3.1","8.7","2.6","2.5",
"","10.6%","11.8%","9.5%","14.5%","10.6%","15.4%","8.6%","7.6%","5.7%","9.5%","11.9%","12.1%","10.0%","9.2%","18.1%","10.9%","10.4%","9.8%","11.0%","9.9%","15.8%","15.4%",""

"A regular bus\coach","13.2","6.3","6.9","2.9","2.1","0.8","1.7","1.7","4.0","6.0","7.2","2.2","11.1","7.1","6.1","2.8","4.0","2.6","3.8","6.6","1.4","1.2",
"","8.8%","8.7%","8.8%","8.5%","6.9%","4.2%","8.3%","7.3%","17.4%","7.4%","10.4%","4.9%","10.3%","5.6%","25.7%","5.7%","9.4%","8.5%","13.4%","7.5%","8.8%","7.6%",""

"Organised coach tour","3.1","1.6","1.5","0.4","0.8","0.5","0.1","0.3","0.9","1.6","1.4","0.9","2.1","2.5","0.5","0.4","1.2","0.7","0.8","1.7","0.3","0.2",
"","2.0%","2.2%","1.9%","1.3%","2.6%","2.7%","0.5%","1.1%","4.1%","2.0%","2.1%","2.1%","2.0%","2.0%","2.3%","0.8%","2.8%","2.2%","2.9%","1.9%","1.5%","1.0%",""

"Taxi","3.9","1.8","2.1","0.5","0.8","0.8","0.7","0.7","0.3","2.3","1.6","1.5","2.4","2.8","1.0","1.0","1.1","0.7","1.1","2.3","0.5","0.6",
"","2.6%","2.4%","2.7%","1.6%","2.7%","4.1%","3.3%","3.0%","1.2%","2.8%","2.2%","3.4%","2.2%","2.2%","4.4%","2.0%","2.6%","2.2%","3.8%","2.6%","3.1%","3.8%",""

"Walked\on foot","8.5","3.1","5.4","2.1","3.2","0.5","1.1","1.2","0.5","3.4","5.2","1.6","6.9","5.3","3.3","2.5","3.2","1.2","1.7","4.8","2.0","0.8",
"","5.7%","4.2%","7.0%","6.2%","10.4%","2.4%","5.5%","5.0%","2.1%","4.1%","7.5%","3.7%","6.5%","4.1%","13.8%","5.0%","7.5%","3.8%","6.1%","5.5%","12.4%","5.1%",""

"Bicycle","1.5","0.7","0.7","0.3","0.5","0.1","0.3","0.1","-","0.6","0.9","0.3","1.2","0.8","0.7","0.2","0.8","0.2","0.2","0.4","0.4","0.5",
"","1.0%","1.0%","0.9%","1.0%","1.7%","0.5%","1.6%","0.6%","0.2%","0.7%","1.3%","0.6%","1.1%","0.6%","2.9%","0.4%","1.9%","0.7%","0.8%","0.5%","2.5%","3.0%",""

"Tube","0.6","0.4","0.2","0.3","-","0.2","0.1","-","-","0.5","0.1","0.3","0.2","0.4","0.2","0.5","0.1","-","-","0.5","0.1","-",
"","0.4%","0.5%","0.2%","0.8%","0.2%","0.8%","0.3%","","0.2%","0.6%","0.2%","0.8%","0.2%","0.3%","0.7%","1.0%","0.2%","","","0.6%","0.7%","0.3%",""

"Tram","0.6","0.4","0.2","0.2","-","0.2","-","0.1","-","0.2","0.4","-","0.5","0.4","0.2","0.2","0.1","0.3","-","0.2","0.3","-",
"","0.4%","0.5%","0.3%","0.7%","0.1%","0.9%","","0.5%","","0.3%","0.5%","0.1%","0.5%","0.3%","0.7%","0.3%","0.3%","0.9%","","0.2%","1.6%","",""

"Motorised caravan\campervan","0.8","0.6","0.3","-","0.4","-","-","0.3","0.1","0.8","-","0.4","0.4","0.8","-","0.3","0.1","-","0.4","0.4","-","-",
"","0.5%","0.8%","0.3%","","1.2%","0.2%","0.1%","1.1%","0.6%","1.0%","","0.9%","0.4%","0.6%","","0.6%","0.3%","0.1%","1.3%","0.5%","","",""

"Plane","1.8","1.6","0.1","0.2","0.8","0.7","0.1","-","-","0.5","1.2","0.4","1.4","1.4","0.4","0.4","0.2","0.3","0.9","1.5","0.2","0.1",
"","1.2%","2.2%","0.2%","0.6%","2.6%","3.4%","0.4%","","","0.6%","1.8%","0.8%","1.3%","1.1%","1.6%","0.8%","0.6%","0.9%","3.0%","1.7%","1.3%","0.6%",""

"Boat\ship\ferry","0.5","-","0.5","0.1","-","-","0.3","-","0.1","0.3","0.2","0.2","0.3","0.5","-","0.2","0.1","0.1","0.2","0.2","0.1","0.2",
"","0.4%","0.1%","0.6%","0.4%","0.1%","0.2%","1.4%","","0.2%","0.4%","0.3%","0.5%","0.3%","0.4%","0.1%","0.3%","0.2%","0.3%","0.6%","0.2%","0.8%","1.1%",""

"Lorry\truck\van","0.5","0.3","0.2","0.3","-","-","-","0.1","0.1","0.1","0.4","0.3","0.2","0.4","0.1","-","0.1","0.1","0.3","0.1","-","0.3",
"","0.3%","0.5%","0.2%","0.8%","0.1%","","0.2%","0.4%","0.3%","0.1%","0.6%","0.7%","0.2%","0.3%","0.4%","0.1%","0.2%","0.3%","1.1%","0.2%","","2.1%",""

"Other","1.2","0.7","0.4","0.6","-","0.2","0.2","-","0.2","0.4","0.7","-","1.2","0.8","0.4","0.4","0.2","0.2","0.4","0.6","0.1","0.3",
