"Form of transport used on trip"
"Base : All respondents"

"All Scotland"
"","","Sex",,"Age",,,,,,"MARITAL STATUS",,"CHILDREN IN HOUSEHOLD",,"CAR IN HOUSEHOLD",,"SOCIAL CLASS OF HOUSEHOLD",,,,"WORKING STATUS",,,
"","Total","Male","Female","16-24","25-34","35-44","45-54","55-64","65+","Married","Not married","Yes","No","Yes","No","AB","C1","C2","DE","Employed full or part time","In full or part time education","Unemployed/not working",
"Unweighted base","2873","1263","1610","306","791","469","562","470","275","1904","969","817","2056","2442","431","1038","889","541","405","2088","190","633",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Weighted base","163.5","72.8","90.7","26.6","32.4","20","28.8","25.1","30.6","105.8","57.7","38.3","125.1","135.8","27.7","51.3","57.9","31.7","22.6","113","11","42.5",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Any car (Net)","110.8","50.4","60.4","12.7","21.1","14.1","21.1","18.6","23.3","79.7","31.2","28.9","81.9","104.8","6","38.6","36.6","22.5","13.2","76.3","5.5","30",
"","67.8%","69.3%","66.6%","47.8%","64.9%","70.5%","73.3%","74.2%","76.1%","75.3%","54.1%","75.4%","65.5%","77.2%","21.7%","75.3%","63.2%","71.1%","58.1%","67.6%","49.7%","70.5%",""

"Car - own/friends/family","109.3","49.5","59.9","12.5","20.6","13.8","20.8","18.4","23.3","79","30.4","28.6","80.7","104.1","5.3","38.3","36.1","22","12.9","75.3","5.1","29.8",
"","66.9%","68%","66%","46.9%","63.4%","69.3%","72.4%","73.2%","76%","74.6%","52.7%","74.7%","64.5%","76.6%","19%","74.8%","62.4%","69.5%","56.9%","66.6%","46.6%","70%",""

"Car - hired","1.5","1","0.5","0.2","0.5","0.2","0.2","0.3","0","0.7","0.8","0.3","1.2","0.8","0.7","0.3","0.4","0.5","0.3","1","0.3","0.2",
"","0.9%","1.3%","0.6%","0.9%","1.6%","1.1%","0.9%","1%","0.1%","0.7%","1.4%","0.7%","1%","0.6%","2.7%","0.5%","0.8%","1.6%","1.2%","0.9%","3.2%","0.5%",""

"Public transport (Net)","28.8","11.1","17.7","7.3","5.8","2.6","4.4","3.8","4.9","12.8","16","4.9","23.9","15.4","13.4","7.9","10.9","4.7","5.3","18.8","2.4","8.1",
"","17.6%","15.3%","19.5%","27.3%","17.9%","12.8%","15.4%","15.3%","15.9%","12.1%","27.7%","12.7%","19.1%","11.3%","48.5%","15.5%","18.8%","14.8%","23.3%","16.6%","22%","19.1%",""

"Train","14.5","5.3","9.3","4.2","3.2","1.5","1.8","1.8","2.1","6.2","8.3","2.5","12","8.5","6.1","4.8","5.6","2.4","1.8","10.7","1.1","3.1",
"","8.9%","7.2%","10.2%","15.8%","9.9%","7.3%","6.1%","7.3%","6.8%","5.9%","14.5%","6.6%","9.6%","6.3%","21.9%","9.3%","9.6%","7.6%","7.9%","9.5%","10.2%","7.2%",""

"A regular bus\coach","14.2","5.8","8.4","3.1","2.6","1.1","2.7","2","2.8","6.6","7.7","2.4","11.9","6.9","7.4","3.2","5.3","2.3","3.5","8.1","1.3","5",
"","8.7%","8%","9.3%","11.5%","8%","5.6%","9.3%","8%","9.1%","6.2%","13.3%","6.2%","9.5%","5.1%","26.6%","6.2%","9.2%","7.2%","15.4%","7.2%","11.8%","11.9%",""

"Organised coach tour","1.9","0.7","1.1","0.2","0.5","0.2","0.1","0.6","0.2","1.4","0.4","0.7","1.2","1.6","0.2","0.4","0.5","0.4","0.5","0.8","0.2","0.9",
"","1.1%","1%","1.2%","0.8%","1.5%","1.1%","0.4%","2.5%","0.7%","1.4%","0.7%","1.8%","0.9%","1.2%","0.9%","0.7%","0.9%","1.3%","2.4%","0.7%","1.4%","2.1%",""

"Taxi","3.6","1.7","2","1","0.8","0.7","0.7","0.4","0.2","2.3","1.4","0.8","2.8","2.4","1.3","1.1","1.1","0.7","0.8","2.7","0.3","0.6",
"","2.2%","2.3%","2.2%","3.6%","2.4%","3.3%","2.3%","1.6%","0.6%","2.1%","2.4%","2.2%","2.2%","1.7%","4.6%","2.1%","1.8%","2.3%","3.5%","2.4%","2.8%","1.5%",""

"Walked\on foot","10.6","5.2","5.3","1.8","2.9","1.6","1.8","1","1.4","6","4.5","1.5","9.1","6.6","4","1.8","4.7","2.4","1.7","7.7","1.1","2",
"","6.5%","7.2%","5.9%","6.9%","9.1%","7.9%","6.3%","4.2%","4.5%","5.7%","7.9%","3.9%","7.3%","4.8%","14.5%","3.4%","8.2%","7.6%","7.4%","6.8%","9.5%","4.8%",""

"Bicycle","2","1.6","0.4","1.2","0.2","0.3","0.1","0.2","0","1.1","0.9","0.3","1.7","0.6","1.4","0.3","0.7","0.2","0.8","1.7","0.5","0.2",
"","1.2%","2.2%","0.5%","4.5%","0.6%","1.3%","0.5%","1%","0%","1%","1.6%","0.9%","1.3%","0.5%","5%","0.7%","1.2%","0.5%","3.6%","1.5%","4.5%","0.4%",""

