"Form of transport used on trip"
"Base : All respondents"

"All Scotland"
"","","Sex",,"Age",,,,,,"MARITAL STATUS",,"CHILDREN IN HOUSEHOLD",,"CAR IN HOUSEHOLD",,"SOCIAL CLASS OF HOUSEHOLD",,,,"WORKING STATUS",,,
"","Total","Male","Female","16-24","25-34","35-44","45-54","55-64","65+","Married","Not married","Yes","No","Yes","No","AB","C1","C2","DE","Employed full or part time","In full or part time education","Unemployed/not working",
"Unweighted base","2403","1082","1321","226","511","394","492","417","363","1560","843","650","1753","1978","425","851","730","381","441","1385","174","887",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Motorised caravan\campervan","0.5","0.2","0.2","0","0.1","0.1","0.1","0","0.1","0.2","0.2","0.1","0.3","0.5","0","0.1","0.1","0.1","0.1","0.1","0.1","0.2",
"","0.3%","0.4%","0.3%","0%","0.5%","0.6%","0.4%","0%","0.5%","0.3%","0.4%","0.4%","0.3%","0.4%","0%","0.3%","0.3%","0.5%","0.3%","0.2%","0.9%","0.4%",""

"Plane","0.3","0.1","0.1","0","0.1","0","0","0","0.1","0.1","0.2","0.1","0.2","0.2","0.1","0","0.2","0","0","0.1","0","0.2",
"","0.2%","0.2%","0.2%","0%","0.4%","0%","0.1%","0%","0.5%","0.1%","0.3%","0.2%","0.2%","0.1%","0.3%","0.1%","0.5%","0%","0%","0.1%","0%","0.3%",""

"Boat\ship\ferry","0.9","0.2","0.7","0","0","0.1","0.1","0.4","0.3","0.6","0.3","0.1","0.8","0.8","0.1","0.4","0.1","0","0.5","0.6","0","0.3",
"","0.6%","0.4%","0.9%","0%","0.1%","0.3%","0.3%","2.1%","1.1%","0.7%","0.6%","0.3%","0.7%","0.7%","0.2%","0.9%","0.1%","0%","1.9%","0.8%","0%","0.6%",""

"Lorry\truck\van","0.4","0.2","0.2","0.2","0","0","0.1","0","0","0.1","0.3","0.2","0.2","0.4","0","0.3","0","0","0","0","0.2","0.1",
"","0.3%","0.4%","0.2%","1%","0%","0.2%","0.5%","0%","0%","0.1%","0.6%","0.7%","0.2%","0.4%","0%","0.8%","0.1%","0%","0.1%","0.1%","1.6%","0.2%",""

"Other","0.9","0.4","0.4","0.1","0.1","0.1","0.1","0.3","0.2","0.4","0.4","0.1","0.7","0.7","0.2","0.2","0.2","0.2","0.3","0.3","0.2","0.4",
"","0.6%","0.6%","0.6%","0.5%","0.3%","0.6%","0.6%","1.2%","0.6%","0.5%","0.8%","0.4%","0.7%","0.6%","0.7%","0.4%","0.4%","0.8%","1.2%","0.4%","1.2%","0.7%",""
