year,month,male,female
2016,january,258.5,258.0
2016,february,476.1,364.7
2016,march,606.3,519.6
2016,april,405.6,604.9
2016,may,770.0,420.5
2016,june,474.1,397.2
2016,july,577.4,519.8
2016,august,584.3,759.1
2016,september,468.5,307.3
2016,october,496.7,448.8
2016,november,432.6,381.1
2016,december,434.4,548.2
