year,month,male,female
2013,jan,400,253
2013,feb,331,316
2013,mar,342,512
2013,apr,718,417
2013,may,521,574
2013,jun,620,538
2013,jul,596,798
2013,aug,748,760
2013,sep,658,451
2013,oct,558,320
2013,nov,387,408
2013,dec,555,343
