month,male,female
jan 2008,345,222
feb 2008,415,378
mar 2008,490,555
apr 2008,436,389
may 2008,620,500
jun 2008,541,448
jul 2008,628,611
aug 2008,705,888
sep 2008,615,401
oct 2008,502,549
nov 2008,366,255
dec 2008,469,452
