month,male,female
jan 2006,409,312
feb 2006,504,355
mar 2006,445,362
apr 2006,570,639
may 2006,586,396
jun 2006,706,535
jul 2006,536,738
aug 2006,808,819
sep 2006,649,496
oct 2006,682,455
nov 2006,338,460
dec 2006,589,513
