year,month,male,female
2019,january,303.3,295.3
2019,february,512.8,440.8
2019,march,590.0,472.1
2019,april,740.6,687.2
2019,may,621.5,583.6
2019,june,470.0,482.9
2019,july,1064.7,851.3
2019,august,715.0,952.8
2019,september,519.5,427.9
2019,october,528.0,465.6
2019,november,401.1,555.3
2019,december,576.5,552.4
