year,month,male,female
2010,jan,339,250
2010,feb,355,355
2010,mar,579,388
2010,apr,701,595
2010,may,465,525
2010,jun,570,545
2010,jul,619,648
2010,aug,510,616
2010,sep,659,512
2010,oct,579,538
2010,nov,425,341
2010,dec,608,373
