year,month,male,female
2018,january,521.5,305.5
2018,february,469.1,410.2
2018,march,488.1,347.5
2018,april,524.9,533.4
2018,may,558.5,529.3
2018,june,466.9,441.6
2018,july,662.4,630.9
2018,august,650.8,879.6
2018,september,413.4,505.0
2018,october,329.9,507.3
2018,november,432.8,369.2
2018,december,440.6,385.1
