year,month,male,female
2007,jan,349,273
2007,feb,336,366
2007,mar,585,420
2007,apr,634,531
2007,may,651,590
2007,jun,528,561
2007,jul,545,673
2007,aug,753,603
2007,sep,570,530
2007,oct,573,529
2007,nov,629,382
2007,dec,491,598
