year,month,male,female
2012,jan,332,214
2012,feb,368,346
2012,mar,328,378
2012,apr,595,695
2012,may,665,531
2012,jun,520,453
2012,jul,749,661
2012,aug,823,789
2012,sep,466,522
2012,oct,555,455
2012,nov,543,456
2012,dec,682,629
