year,month,male,female
2015,jan,373,316
2015,feb,305,497
2015,mar,541,440
2015,apr,514,539
2015,may,508,594
2015,jun,403,593
2015,jul,744,794
2015,aug,681,819
2015,sep,476,424
2015,oct,505,384
2015,nov,327,299
2015,dec,449,463
