year,month,male,female
2014,jan,166,206
2014,feb,408,321
2014,mar,336,484
2014,apr,544,629
2014,may,531,677
2014,jun,536,487
2014,jul,716,572
2014,aug,813,775
2014,sep,612,400
2014,oct-dec,1751,1555
