"Month"
"Base: All respondents"

"All Scotland"
""," ","Gender",,"Age",,,,,,"Marital Status",,"Children in household",,"Car in household",,"Social Grade",,,,"Working Status",,,
"","Total","Male","Female","16-24","25-34","35-44","45-54","55-64","65+","Married","Not Married","Yes","No","Yes","No","AB","C1","C2","DE","Employed full or part time","In full or part time education","Unemployed/not working",
" ","","","","","","","","","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Unweighted Base","2324","1101","1223","203","413","336","435","535","402","1514","810","592","1732","1896","428","876","778","329","341","1236","177","258",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Total","142.7","71.6","71.2","30.4","28.2","21.3","17.5","22.7","22.7","83.4","59.3","37.3","105.5","108.7","34.0","50.2","52.3","18.7","21.5","77.2","16.0","16.7",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Month","","","","","","","","","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","",""

"January","10.2","6.0","4.2","3.5","1.4","1.4","1.2","1.3","1.4","5.6","4.6","2.0","8.3","7.4","2.8","3.0","5.1","1.2","1.0","5.6","1.0","1.7",
"","7.2%","8.4%","5.9%","11.4%","4.9%","6.8%","6.7%","5.9%","6.2%","6.7%","7.7%","5.3%","7.8%","6.8%","8.2%","5.9%","9.7%","6.4%","4.7%","7.3%","6.3%","10.3%",""

"February","8.4","3.9","4.6","1.3","1.8","1.0","1.3","1.1","1.8","5.4","3.0","1.4","7.0","7.1","1.3","3.7","2.6","0.8","1.3","4.9","0.6","0.4",
"","5.9%","5.4%","6.4%","4.3%","6.4%","4.8%","7.5%","5.0%","8.0%","6.5%","5.1%","3.7%","6.7%","6.5%","3.9%","7.3%","5.0%","4.5%","6.0%","6.3%","3.5%","2.5%",""

"March","8.7","4.1","4.6","1.3","1.0","2.1","1.3","1.1","1.8","5.8","2.9","2.6","6.1","7.3","1.4","2.2","3.2","1.6","1.7","5.1","0.5","0.9",
"","6.1%","5.7%","6.5%","4.3%","3.7%","10.0%","7.2%","5.0%","8.1%","6.9%","4.9%","7.0%","5.8%","6.7%","4.0%","4.3%","6.2%","8.3%","8.1%","6.5%","2.9%","5.6%",""

"April","13.0","7.0","6.0","3.0","2.0","1.8","1.6","2.3","2.3","7.4","5.6","3.6","9.4","9.1","3.9","4.7","5.0","0.9","2.4","6.5","1.9","0.8",
"","9.1%","9.7%","8.5%","9.9%","7.0%","8.4%","9.3%","10.3%","9.9%","8.9%","9.4%","9.6%","8.9%","8.4%","11.3%","9.3%","9.6%","4.8%","11.2%","8.4%","11.7%","4.6%",""

"May","9.4","5.7","3.8","1.6","2.3","1.2","1.6","1.3","1.4","5.4","4.0","2.8","6.7","7.2","2.2","2.3","3.9","0.8","2.4","4.8","0.9","1.5",
"","6.6%","7.9%","5.3%","5.3%","8.3%","5.9%","8.9%","5.9%","6.0%","6.5%","6.8%","7.4%","6.3%","6.6%","6.5%","4.5%","7.4%","4.5%","11.3%","6.2%","5.6%","9.2%",""

"June","14.6","7.6","7.0","2.3","3.8","1.8","1.7","2.8","2.2","9.5","5.1","5.5","9.1","11.5","3.1","5.3","4.9","2.3","2.1","8.6","1.4","1.7",
"","10.2%","10.6%","9.8%","7.7%","13.6%","8.6%","9.6%","12.1%","9.5%","11.4%","8.5%","14.7%","8.6%","10.5%","9.1%","10.5%","9.4%","12.5%","9.6%","11.1%","8.9%","10.2%",""

"July","12.9","6.4","6.5","1.8","4.7","1.5","1.4","1.8","1.7","6.7","6.2","3.5","9.4","10.0","2.9","3.3","5.8","2.3","1.5","6.9","1.6","2.1",
"","9.0%","9.0%","9.1%","6.0%","16.6%","7.1%","7.9%","7.8%","7.6%","8.0%","10.5%","9.5%","8.9%","9.2%","8.4%","6.7%","11.1%","12.2%","6.9%","8.9%","9.9%","12.6%",""

"August","19.2","10.4","8.8","5.2","3.0","2.9","2.1","2.5","3.5","9.4","9.8","4.3","14.9","13.5","5.7","6.5","6.6","2.7","3.3","8.9","3.7","2.7",
"","13.4%","14.5%","12.3%","17.0%","10.7%","13.5%","12.0%","11.1%","15.4%","11.3%","16.4%","11.6%","14.1%","12.4%","16.7%","13.0%","12.7%","14.4%","15.4%","11.5%","23.1%","15.9%",""

"September","14.7","6.5","8.2","5.1","2.1","1.5","1.5","2.2","2.3","9.1","5.7","2.8","12.0","11.4","3.3","7.6","4.2","1.5","1.5","8.3","1.5","1.0",
"","10.3%","9.1%","11.5%","16.6%","7.5%","7.2%","8.5%","9.9%","10.2%","10.9%","9.6%","7.4%","11.4%","10.5%","9.8%","15.1%","8.0%","7.9%","7.0%","10.8%","9.1%","5.9%",""

"October","10.0","4.7","5.3","1.7","1.8","2.0","1.5","1.9","1.1","6.1","3.9","2.9","7.1","7.5","2.6","3.0","3.9","1.8","1.3","5.7","1.0","1.2",
"","7.0%","6.5%","7.5%","5.5%","6.5%","9.4%","8.6%","8.4%","4.9%","7.3%","6.6%","7.7%","6.8%","6.9%","7.6%","6.0%","7.4%","9.8%","6.0%","7.4%","6.3%","7.3%",""

"November","9.5","4.7","4.8","2.3","1.9","0.9","0.9","1.8","1.7","6.1","3.4","2.3","7.2","7.3","2.2","2.9","2.8","1.6","2.2","4.3","0.6","2.0",
"","6.7%","6.6%","6.7%","7.6%","6.8%","4.1%","5.0%","8.0%","7.6%","7.4%","5.7%","6.2%","6.8%","6.7%","6.6%","5.8%","5.3%","8.8%","10.2%","5.5%","3.8%","12.0%",""

"December","12.1","4.7","7.4","1.4","2.3","3.0","1.5","2.4","1.5","6.9","5.2","3.7","8.4","9.4","2.7","5.8","4.4","1.1","0.8","7.7","1.4","0.7",
"","8.5%","6.5%","10.5%","4.6%","8.1%","14.2%","8.8%","10.5%","6.5%","8.3%","8.7%","9.9%","8.0%","8.7%","7.8%","11.6%","8.3%","6.0%","3.6%","10.0%","8.9%","3.9%",""
