"Start month of trip"
"Base : Total trips (including child trips)"

"All Scotland"
"All figures shown in thousands - except unweighted base"
"Tables based on start date of trip"
"","","SEX",,"AGE",,,,,,"CHILDREN IN HOUSEHOLD",,"SOCIAL CLASS OF HOUSEHOLD",,,,,,
"","TOTAL","Male","Female","16-24","25-34","35-44","45-54","55-64","65+","Yes","No","A","B","C1","C2","D","E",
"Unweighted Base","1719","832","887","173","303","334","298","267","344","537","1182","110","404","482","365","181","177",
"","","","","","","","","","","","","","","","","","",""

"Weighted Base","11782","6133","5649","1311","2128","2637","2205","1791","1710","3395","8387","863","3142","3484","2358","1241","695",
"","","","","","","","","","","","","","","","","","",""

"Jan 2008","567","345","222","134","69","98","109","101","56","122","445","11","136","275","87","48","9",
"","5%","6%","4%","10%","3%","4%","5%","6%","3%","4%","5%","1%","4%","8%","4%","4%","1%",""

"Feb 2008","792","415","378","128","167","85","177","120","117","206","587","54","231","212","124","98","73",
"","7%","7%","7%","10%","8%","3%","8%","7%","7%","6%","7%","6%","7%","6%","5%","8%","11%",""

"Mar 2008","1045","490","555","127","229","243","193","170","83","313","732","118","290","321","168","98","51",
"","9%","8%","10%","10%","11%","9%","9%","9%","5%","9%","9%","14%","9%","9%","7%","8%","7%",""

"Apr 2008","826","436","389","85","188","249","100","118","86","275","551","88","95","287","178","88","89",
"","7%","7%","7%","6%","9%","9%","5%","7%","5%","8%","7%","10%","3%","8%","8%","7%","13%",""

"May 2008","1120","620","500","44","230","241","251","186","168","339","780","20","409","357","220","68","47",
"","10%","10%","9%","3%","11%","9%","11%","10%","10%","10%","9%","2%","13%","10%","9%","5%","7%",""

"Jun 2008","989","541","448","89","181","227","179","89","224","219","770","74","363","227","175","98","52",
"","8%","9%","8%","7%","9%","9%","8%","5%","13%","6%","9%","9%","12%","7%","7%","8%","7%",""

"Jul 2008","1239","628","611","120","176","340","234","170","199","423","817","105","244","304","322","192","73",
"","11%","10%","11%","9%","8%","13%","11%","9%","12%","12%","10%","12%","8%","9%","14%","16%","11%",""

"Aug 2008","1594","705","888","129","349","331","312","265","209","584","1010","154","468","518","221","152","81",
"","14%","12%","16%","10%","16%","13%","14%","15%","12%","17%","12%","18%","15%","15%","9%","12%","12%",""

"Sep 2008","1016","615","401","179","128","229","147","164","170","200","817","32","260","199","240","234","52",
"","9%","10%","7%","14%","6%","9%","7%","9%","10%","6%","10%","4%","8%","6%","10%","19%","7%",""

"Oct 2008","1051","502","549","107","150","269","179","195","152","302","749","71","263","324","252","87","54",
"","9%","8%","10%","8%","7%","10%","8%","11%","9%","9%","9%","8%","8%","9%","11%","7%","8%",""

"Nov 2008","621","366","255","74","84","145","130","99","91","191","431","29","142","211","172","43","24",
"","5%","6%","5%","6%","4%","5%","6%","6%","5%","6%","5%","3%","5%","6%","7%","3%","4%",""

"Dec 2008","921","469","452","95","177","180","196","118","155","223","698","106","239","251","201","35","89",
"","8%","8%","8%","7%","8%","7%","9%","7%","9%","7%","8%","12%","8%","7%","9%","3%","13%",""
