"Start month of trip"
"Base : Total trips (including child trips)"

"All Scotland"
"All figures shown in thousands - except unweighted base"
"Tables based on start date of trip"
"","","SEX",,"AGE",,,,,,"CHILDREN IN HOUSEHOLD",,"SOCIAL CLASS OF HOUSEHOLD",,,,,,
"","TOTAL","Male","Female","16-24","25-34","35-44","45-54","55-64","65+","Yes","No","A","B","C1","C2","D","E",
"Unweighted Base","1695","866","828","157","272","367","325","253","321","548","1147","98","456","546","318","154","124",
"","","","","","","","","","","","","","","","","","",""

"Weighted Base","12122","6433","5689","1137","2021","2704","2651","1904","1705","3559","8563","801","3588","4078","2205","966","484",
"","","","","","","","","","","","","","","","","","",""

"Jan 2013","653","400","253","72","135","152","152","82","59","151","502","15","232","172","149","62","22",
"","5%","6%","4%","6%","7%","6%","6%","4%","3%","4%","6%","2%","6%","4%","7%","6%","5%",""

"Feb 2013","647","331","316","65","88","142","161","108","84","175","471","35","202","228","106","57","19",
"","5%","5%","6%","6%","4%","5%","6%","6%","5%","5%","6%","4%","6%","6%","5%","6%","4%",""

"Mar 2013","853","342","512","60","138","122","247","144","141","285","569","37","291","269","145","64","47",
"","7%","5%","9%","5%","7%","5%","9%","8%","8%","8%","7%","5%","8%","7%","7%","7%","10%",""

"Apr 2013","1135","718","417","75","180","353","251","138","138","377","758","66","245","336","372","99","17",
"","9%","11%","7%","7%","9%","13%","9%","7%","8%","11%","9%","8%","7%","8%","17%","10%","4%",""

"May 2013","1095","521","574","95","128","226","248","198","200","336","760","68","346","385","136","110","51",
"","9%","8%","10%","8%","6%","8%","9%","10%","12%","9%","9%","8%","10%","9%","6%","11%","11%",""

"Jun 2013","1157","620","538","117","217","188","221","233","182","258","899","35","319","470","229","82","22",
"","10%","10%","9%","10%","11%","7%","8%","12%","11%","7%","11%","4%","9%","12%","10%","9%","5%",""

"Jul 2013","1395","596","798","133","169","497","264","151","180","602","793","132","479","373","227","123","59",
"","12%","9%","14%","12%","8%","18%","10%","8%","11%","17%","9%","16%","13%","9%","10%","13%","12%",""

"Aug 2013","1507","748","760","166","182","331","313","301","215","382","1126","141","449","490","240","117","71",
"","12%","12%","13%","15%","9%","12%","12%","16%","13%","11%","13%","18%","13%","12%","11%","12%","15%",""

"Sep 2013","1108","658","451","135","200","203","215","164","191","271","837","69","337","434","160","71","37",
"","9%","10%","8%","12%","10%","8%","8%","9%","11%","8%","10%","9%","9%","11%","7%","7%","8%",""

"Oct 2013","878","558","320","65","202","169","183","169","91","224","655","66","256","306","171","50","29",
"","7%","9%","6%","6%","10%","6%","7%","9%","5%","6%","8%","8%","7%","8%","8%","5%","6%",""

"Nov 2013","795","387","408","45","186","145","225","96","98","194","600","62","184","283","128","76","60",
"","7%","6%","7%","4%","9%","5%","8%","5%","6%","5%","7%","8%","5%","7%","6%","8%","12%",""

"Dec 2013","898","555","343","108","197","176","169","121","127","306","592","76","246","331","142","53","50",
"","7%","9%","6%","9%","10%","7%","6%","6%","7%","9%","7%","10%","7%","8%","6%","5%","10%",""
