transport,total,male,female,16-24,25-34,35-44,45-54,55-64,65+,married,not married,yes,no,access to car (1+),no access to car (0),ab,c1,c2,de,employed/self-employed (full or part time),in full or part time education,unemployed/not working,
any car (net),110.8,50.4,60.4,12.7,21.1,14.1,21.1,18.6,23.3,79.7,31.2,28.9,81.9,104.8,6.0,38.6,36.6,22.5,13.2,76.3,5.5,30.0,
car - own/friends/family,109.3,49.5,59.9,12.5,20.6,13.8,20.8,18.4,23.3,79.0,30.4,28.6,80.7,104.1,5.3,38.3,36.1,22.0,12.9,75.3,5.1,29.8,
car - hired,1.5,1.0,0.5,0.2,0.5,0.2,0.2,0.3,0.0,0.7,0.8,0.3,1.2,0.8,0.7,0.3,0.4,0.5,0.3,1.0,0.3,0.2,
public transport (net),28.8,11.1,17.7,7.3,5.8,2.6,4.4,3.8,4.9,12.8,16.0,4.9,23.9,15.4,13.4,7.9,10.9,4.7,5.3,18.8,2.4,8.1,
train,14.5,5.3,9.3,4.2,3.2,1.5,1.8,1.8,2.1,6.2,8.3,2.5,12.0,8.5,6.1,4.8,5.6,2.4,1.8,10.7,1.1,3.1,
a regular bus\coach,14.2,5.8,8.4,3.1,2.6,1.1,2.7,2.0,2.8,6.6,7.7,2.4,11.9,6.9,7.4,3.2,5.3,2.3,3.5,8.1,1.3,5.0,
organised coach tour,1.9,0.7,1.1,0.2,0.5,0.2,0.1,0.6,0.2,1.4,0.4,0.7,1.2,1.6,0.2,0.4,0.5,0.4,0.5,0.8,0.2,0.9,
taxi,3.6,1.7,2.0,1.0,0.8,0.7,0.7,0.4,0.2,2.3,1.4,0.8,2.8,2.4,1.3,1.1,1.1,0.7,0.8,2.7,0.3,0.6,
walked\on foot,10.6,5.2,5.3,1.8,2.9,1.6,1.8,1.0,1.4,6.0,4.5,1.5,9.1,6.6,4.0,1.8,4.7,2.4,1.7,7.7,1.1,2.0,
bicycle,2.0,1.6,0.4,1.2,0.2,0.3,0.1,0.2,0.0,1.1,0.9,0.3,1.7,0.6,1.4,0.3,0.7,0.2,0.8,1.7,0.5,0.2,
minibus,0.5,0.2,0.4,0.0,0.1,0.1,0.2,0.1,0.0,0.3,0.3,0.1,0.5,0.5,0.1,0.1,0.3,0.1,0.0,0.5,0.0,0.0,
motor cycle,0.2,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.0,
tube,0.6,0.2,0.3,0.3,0.2,0.0,0.0,0.0,0.0,0.2,0.3,0.2,0.4,0.5,0.1,0.1,0.4,0.0,0.0,0.5,0.0,0.0,
tram,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,
motorised caravan\campervan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
plane,0.5,0.1,0.5,0.0,0.5,0.0,0.0,0.0,0.1,0.5,0.0,0.2,0.3,0.5,0.0,0.2,0.2,0.0,0.1,0.5,0.0,0.1,
boat\ship\ferry,0.7,0.4,0.4,0.1,0.1,0.3,0.0,0.1,0.2,0.5,0.2,0.4,0.4,0.7,0.0,0.4,0.3,0.0,0.1,0.6,0.0,0.1,
lorry\truck\van,2.1,0.7,1.4,1.7,0.1,0.1,0.0,0.1,0.0,0.3,1.7,0.1,2.0,1.4,0.7,0.1,1.8,0.2,0.0,2.0,1.0,0.0,
other,1.1,0.4,0.7,0.4,0.0,0.1,0.2,0.0,0.5,0.5,0.6,0.2,0.9,0.7,0.4,0.2,0.3,0.5,0.2,0.6,0.1,0.5,
