"month","total","male","female","16-24","25-34","35-44","45-54","55-64","65+","married","not married","yes","no","access to car (1+)","no access to car (0)","ab","c1","c2","de","employed/self-employed (full or part time)","in full or part time education","unemployed/not working",
" ","","","","","","","","","","","","","","","","","","","","","","",
"total","137.8","67.8","69.9","27.5","29.6","17.6","17.4","23.0","22.8","79.1","58.7","40.7","97.1","114.5","23.3","45.0","39.7","29.3","23.7","77.2","14.8","15.2",
"january","10.2","6.0","4.2","1.7","2.9","1.4","1.4","1.4","1.4","6.0","4.2","2.5","7.7","8.8","1.4","2.9","4.4","1.6","1.4","5.6","1.9","0.9",
"february","9.9","4.7","5.2","2.1","2.8","0.8","1.2","0.8","2.2","4.7","5.2","2.7","7.2","7.6","2.3","1.9","2.6","2.4","3.0","4.5","1.1","1.9",
"march","10.4","4.8","5.6","1.6","2.3","1.8","1.5","1.8","1.4","6.2","4.1","3.2","7.2","8.8","1.6","3.8","2.8","2.0","1.8","5.6","1.4","1.0",
"april","10.6","5.4","5.2","1.3","2.3","1.7","1.5","1.5","2.3","5.4","5.2","2.9","7.7","8.1","2.6","3.3","3.5","2.6","1.3","7.1","1.2","0.5",
"may","10.2","4.6","5.5","2.3","1.8","0.9","1.2","2.8","1.2","5.5","4.6","3.0","7.1","9.2","1.0","3.7","2.3","2.9","1.2","5.6","1.1","1.4",
"june","13.6","6.4","7.2","3.2","3.4","1.3","1.0","2.6","2.0","7.8","5.8","3.6","10.0","11.2","2.4","4.1","4.5","3.0","2.0","6.8","0.9","2.0",
"july","11.0","5.4","5.5","1.5","2.4","1.7","1.3","2.0","2.1","6.3","4.6","4.0","7.0","8.8","2.1","3.4","3.3","2.7","1.6","6.2","1.2","1.4",
"august","11.4","4.7","6.7","1.7","1.5","1.7","1.9","2.7","2.0","7.3","4.1","3.3","8.2","10.4","1.1","3.3","4.6","1.8","1.8","6.0","0.8","1.1",
"september","13.7","5.3","8.4","3.0","2.9","1.9","1.3","1.9","2.7","7.4","6.2","4.1","9.5","11.4","2.2","4.2","2.9","3.4","3.2","7.4","2.0","1.0",
"october","13.0","7.7","5.2","4.2","2.3","1.0","2.2","1.6","1.7","7.7","5.2","2.9","10.1","11.3","1.7","5.2","3.1","2.9","1.8","8.7","0.7","1.4",
"november","11.4","5.9","5.5","1.6","2.2","1.7","1.5","2.5","1.9","7.8","3.6","4.7","6.7","10.2","1.2","4.2","3.3","1.9","2.1","6.9","0.9","0.7",
"december","12.5","6.9","5.6","3.2","2.9","1.6","1.3","1.4","2.0","6.8","5.7","3.7","8.8","8.8","3.7","4.9","2.6","2.4","2.6","6.8","1.5","1.9",
