month,total,male,female,16-24,25-34,35-44,45-54,55-64,65+,married,not married,yes,no,access to car (1+),no access to car (0),ab,c1,c2,de,employed/self-employed (full or part time),in full or part time education,unemployed/not working,
january,10.2,5.5,4.8,1.8,1.2,1.6,2.6,1.3,1.8,7.6,2.6,2.7,7.6,9.2,1.0,3.5,2.3,2.8,1.6,5.7,1.0,3.6,
february,9.8,4.9,4.9,1.2,2.3,1.8,2.2,0.9,1.5,6.0,3.9,2.8,7.0,8.4,1.4,4.2,2.3,1.3,2.0,6.5,1.1,2.4,
march,9.9,4.9,5.0,1.4,1.7,1.7,1.7,1.3,2.2,7.1,2.8,2.9,6.9,8.7,1.2,2.7,3.6,2.1,1.5,6.2,0.6,3.2,
april,14.1,6.1,8.0,1.9,1.4,3.2,2.3,3.2,2.2,9.9,4.2,2.7,11.4,12.2,1.9,5.7,4.2,3.1,1.1,9.1,1.0,4.2,
may,15.3,6.4,8.9,1.9,1.6,2.6,4.0,2.0,3.0,10.2,5.1,3.2,12.1,12.0,3.2,5.4,5.4,2.9,1.6,8.6,2.1,4.8,
june,12.2,6.2,6.0,2.6,1.7,2.2,1.6,1.7,2.3,6.9,5.2,3.2,9.0,10.2,2.0,4.1,3.4,1.8,2.9,6.3,1.5,4.8,
july,17.1,8.7,8.4,5.0,3.6,2.1,3.0,1.4,2.0,10.2,6.9,3.6,13.6,13.3,3.8,5.9,7.0,2.7,1.6,10.8,3.5,3.3,
august,17.5,6.6,10.9,2.8,3.9,2.5,3.2,2.6,2.5,9.6,7.9,4.7,12.9,14.3,3.2,5.6,5.2,4.1,2.6,10.9,2.5,4.8,
september,11.9,5.2,6.7,2.9,2.8,1.5,1.3,1.3,2.1,8.2,3.7,3.6,8.3,9.3,2.6,2.9,3.6,2.7,2.7,8.3,1.4,2.2,
october,11.6,4.7,7.0,2.3,2.2,1.7,2.3,1.5,1.7,8.1,3.6,2.9,8.8,10.4,1.3,3.4,4.5,3.1,0.7,8.1,0.8,2.8,
november,12.9,6.4,6.5,4.2,2.2,1.4,1.7,2.7,0.7,6.7,6.2,2.5,10.4,10.0,2.9,4.0,5.4,1.8,1.7,9.2,1.1,2.7,
december,11.6,5.9,5.8,2.5,3.5,1.3,2.3,2.0,0.0,7.8,3.9,3.5,8.1,9.9,1.8,4.4,4.3,1.4,1.5,11.1,0.5,0.3,
