Month,TOTAL,Male,Female,16-24,25-34,35-44,45-54,55-64,65+,Yes,No,A,B,C1,C2,D,E
Weighted Base,12095,6408,5687,1234,1875,2894,2638,1882,1572,3643,8452,1077,3410,3527,2429,1038,614
Jan 2010,589,339,250,127,86,145,92,103,36,115,474,18,118,233,154,41,24
Feb 2010,710,355,355,90,79,222,155,99,64,230,480,107,137,230,116,84,36
Mar 2010,967,579,388,85,111,189,324,146,111,280,687,174,271,232,151,109,30
Apr 2010,1296,701,595,131,220,415,171,205,155,408,888,129,362,290,273,166,75
May 2010,990,465,525,78,227,243,185,101,155,287,703,62,291,265,227,116,28
Jun 2010,1115,570,545,67,154,203,324,221,147,264,852,99,400,294,177,95,51
Jul 2010,1267,619,648,139,182,322,261,197,166,506,761,60,269,435,341,63,99
Aug 2010,1126,510,616,105,181,227,263,172,178,373,753,120,323,304,207,101,70
Sep 2010,1170,659,512,88,151,293,287,179,172,348,822,128,266,364,245,86,82
Oct 2010,1117,579,538,71,222,243,233,217,131,364,753,108,335,303,200,126,45
Nov 2010,766,425,341,89,96,213,143,84,141,215,551,23,312,216,149,17,48
Dec 2010,980,608,373,164,165,178,201,156,116,253,727,48,325,361,189,33,24
