Month,TOTAL,Male,Female,16-24,25-34,35-44,45-54,55-64,65+,Yes,No,A,B,C1,C2,D,E
Weighted Base,13360,6963,6397,1377,2150,3263,2628,2351,1592,4193,9168,952,3638,4225,2565,1224,756
Jan 2011,637,331,306,61,138,166,112,119,42,219,419,79,151,241,91,32,44
Feb 2011,906,362,544,121,255,183,157,97,93,358,549,68,241,259,151,144,43
Mar 2011,866,468,398,92,169,180,175,146,105,279,587,10,177,315,151,97,117
Apr 2011,1209,589,620,137,185,331,193,226,137,447,763,74,253,434,342,52,53
May 2011,1093,521,572,115,129,221,175,327,126,303,790,112,253,327,206,117,77
Jun 2011,1280,751,528,114,193,260,308,256,149,309,970,176,400,365,170,109,60
Jul 2011,1593,814,779,154,247,429,324,222,217,539,1054,53,578,369,341,153,100
Aug 2011,1466,761,705,151,208,240,327,318,223,429,1037,108,426,434,263,157,77
Sep 2011,1135,603,532,119,118,242,278,192,185,287,848,89,297,337,202,149,60
Oct 2011,1271,710,561,76,195,392,289,184,135,410,861,98,251,523,257,96,46
Nov 2011,642,406,236,77,60,209,106,90,100,219,423,31,164,193,177,46,31
Dec 2011,1262,646,616,161,251,409,185,175,81,394,868,54,447,427,214,72,47
