year,month,a,b,c1,c2,d,e
2018,january,40.2,409.9,215.3,99.0,50.0,12.6
2018,february,113.3,377.2,249.7,66.9,66.4,5.9
2018,march,32.5,273.6,306.7,141.3,54.6,26.7
2018,april,62.1,315.8,359.7,216.3,76.9,27.3
2018,may,128.3,376.7,236.8,261.5,49.2,35.3
2018,june,124.7,236.8,267.8,153.6,73.4,52.1
2018,july,79.0,438.3,385.4,223.4,107.1,60.1
2018,august,157.6,664.2,383.1,195.7,71.8,57.9
2018,september,76.7,351.6,252.6,138.0,75.6,24.0
2018,october,65.7,339.7,210.2,154.1,38.4,29.1
2018,november,136.8,276.7,246.8,92.9,48.8,-
2018,december,42.5,233.7,235.4,255.3,39.1,19.6
