month,a,b,c1,c2,d,e
jan 2013,15,232,172,149,62,22
feb 2013,35,202,228,106,57,19
mar 2013,37,291,269,145,64,47
apr 2013,66,245,336,372,99,17
may 2013,68,346,385,136,110,51
jun 2013,35,319,470,229,82,22
jul 2013,132,479,373,227,123,59
aug 2013,141,449,490,240,117,71
sep 2013,69,337,434,160,71,37
oct 2013,66,256,306,171,50,29
nov 2013,62,184,283,128,76,60
dec 2013,76,246,331,142,53,50
