year,month,a,b,c1,c2,d,e
2010,jan,18,118,233,154,41,24
2010,feb,107,137,230,116,84,36
2010,mar,174,271,232,151,109,30
2010,apr,129,362,290,273,166,75
2010,may,62,291,265,227,116,28
2010,jun,99,400,294,177,95,51
2010,jul,60,269,435,341,63,99
2010,aug,120,323,304,207,101,70
2010,sep,128,266,364,245,86,82
2010,oct,108,335,303,200,126,45
2010,nov,23,312,216,149,17,48
2010,dec,48,325,361,189,33,24
