month,a,b,c1,c2,d,e
jan 2011,79,151,241,91,32,44
feb 2011,68,241,259,151,144,43
mar 2011,10,177,315,151,97,117
apr 2011,74,253,434,342,52,53
may 2011,112,253,327,206,117,77
jun 2011,176,400,365,170,109,60
jul 2011,53,578,369,341,153,100
aug 2011,108,426,434,263,157,77
sep 2011,89,297,337,202,149,60
oct 2011,98,251,523,257,96,46
nov 2011,31,164,193,177,46,31
dec 2011,54,447,427,214,72,47
