month,a,b,c1,c2,d,e
jan 2014,8,119,148,64,28,3
feb 2014,39,254,235,93,77,31
mar 2014,63,259,263,153,69,13
apr 2014,106,450,330,213,46,28
may 2014,67,478,335,205,71,51
jun 2014,116,374,257,118,96,62
jul 2014,63,542,362,183,103,35
aug 2014,150,526,428,320,105,59
sep 2014,95,398,297,148,34,39
oct-dec 2014,161,1412,885,436,183,230
