month,a,b,c1,c2,d,e
jan 2008,11,136,275,87,48,9
feb 2008,54,231,212,124,98,73
mar 2008,118,290,321,168,98,51
apr 2008,88,95,287,178,88,89
may 2008,20,409,357,220,68,47
jun 2008,74,363,227,175,98,52
jul 2008,105,244,304,322,192,73
aug 2008,154,468,518,221,152,81
sep 2008,32,260,199,240,234,52
oct 2008,71,263,324,252,87,54
nov 2008,29,142,211,172,43,24
dec 2008,106,239,251,201,35,89
