month,a,b,c1,c2,d,e
jan 2015,100,211,260,73,25,21
feb 2015,51,278,232,182,35,25
mar 2015,107,402,284,109,56,23
apr 2015,125,333,246,186,127,36
may 2015,100,386,304,190,90,33
jun 2015,98,362,242,170,82,41
jul 2015,118,612,406,260,87,55
aug 2015,145,597,359,283,79,37
sep 2015,72,250,243,246,68,23
oct 2015,100,326,289,122,33,21
nov 2015,51,228,194,100,32,21
dec 2015,52,260,239,246,29,85
