month,a,b,c1,c2,d,e
jan 2007,30,94,269,133,84,12
feb 2007,72,180,311,101,27,12
mar 2007,90,218,353,202,82,60
apr 2007,85,327,361,192,122,78
may 2007,51,344,392,200,159,95
jun 2007,103,262,293,195,158,78
jul 2007,100,342,379,256,94,46
aug 2007,47,367,351,337,197,57
sep 2007,84,314,336,141,169,57
oct 2007,95,304,291,235,130,47
nov 2007,26,319,473,100,60,33
dec 2007,26,305,490,187,35,46
