year,month,a,b,c1,c2,d,e
2012,jan,52,173,90,115,73,44
2012,feb,92,236,151,124,62,49
2012,mar,77,163,216,144,69,36
2012,apr,71,501,316,277,80,45
2012,may,61,383,361,230,120,40
2012,jun,46,256,336,200,101,35
2012,jul,223,338,482,229,86,52
2012,aug,94,524,453,357,126,57
2012,sep,167,241,238,208,90,44
2012,oct,14,379,263,197,117,39
2012,nov,45,325,287,218,66,58
2012,dec,116,372,404,218,120,80
