year,month,a,b,c1,c2,d,e
2017,january,75.1,146.1,146.7,118.3,58.5,19.1
2017,february,6.4,188.2,188.6,57.9,46.2,26.7
2017,march,41.9,190.7,198.6,164.0,85.1,21.2
2017,april,69.0,506.8,292.0,311.7,83.4,15.0
2017,may,79.3,370.1,220.1,182.4,70.9,44.7
2017,june,38.0,277.8,214.2,114.0,39.7,44.1
2017,july,145.9,329.1,278.2,147.0,82.7,48.8
2017,august,87.6,471.9,467.5,153.5,104.1,42.8
2017,september,195.5,421.9,282.2,190.3,57.9,33.3
2017,october,102.8,576.9,321.8,137.5,40.8,30.1
2017,november,210.2,311.5,272.6,196.1,46.1,16.4
2017,december,158.1,339.8,370.4,150.8,70.3,19.1
