month,a,b,c1,c2,d,e
jan 2009,60,193,171,96,38,32
feb 2009,18,253,194,96,37,50
mar 2009,12,233,230,160,69,45
apr 2009,62,346,356,177,125,61
may 2009,128,370,402,287,101,66
jun 2009,57,264,273,131,121,61
jul 2009,62,430,394,244,120,141
aug 2009,130,504,485,212,187,75
sep 2009,107,408,292,167,173,58
oct 2009,58,259,307,154,103,58
nov 2009,63,212,170,100,30,41
dec 2009,48,143,388,160,135,42
