month,a,b,c1,c2,d,e
jan 2006,34,210,256,102,80,38
feb 2006,20,211,248,257,75,48
mar 2006,66,227,233,133,83,65
apr 2006,66,342,445,100,151,105
may 2006,55,319,254,207,77,69
jun 2006,38,279,441,268,125,89
jul 2006,50,326,374,307,125,91
aug 2006,69,401,548,273,205,131
sep 2006,59,225,403,184,167,108
oct 2006,158,317,345,177,65,75
nov 2006,83,228,220,127,85,54
dec 2006,82,401,340,68,147,63
