year,type,action,ab,c1,c2,de
2016,activity,went out for a meal,13.4,11.2,6.8,4.8
2016,activity,"went on a night out to a bar, pub and/or club",8.2,5.7,2.9,3.2
2016,activity,"went out for entertainment – to a cinema, concert or theatre",6.6,3.3,1.8,1.2
2016,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",11.8,7.5,4.6,5.5
2016,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",4.6,2.1,0.5,1.6
2016,activity,"took part in sports, including exercise classes, going to the gym",4.1,2.2,1.2,0.8
2016,activity,watched live sporting event (not on tv),4.4,3.8,2.3,1.8
2016,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",6.2,3.5,1.6,1.5
2016,activity,"went to a special public event such as a festival, exhibition, etc.",2.2,1.8,0.9,1.3
2016,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",2.1,1.5,0.9,0.8
2016,activity,"went on days out to a beauty/health centre/spa, etc.",0.7,0.3,0.3,0.7
2016,activity,went on general days out/ to explore an area,6.2,6.5,2.6,3.9
2016,activity,went on day trips/excursions for another leisure purpose not mentioned above,4.5,2.9,1.7,2.5
2017,activity,visited friends or family for leisure,15.3,13.9,10.9,8.9
2017,activity,'special' shopping for items that you do not regularly buy,5.7,6.4,4.5,4.0
2017,activity,went out for a meal,12.4,11.4,7.8,6.9
2017,activity,"went on a night out to a bar, pub and/or club",6.4,6.3,4.6,5.5
2017,activity,"went out for entertainment – to a cinema, concert or theatre",4.4,4.9,2.7,3.1
2017,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",10.6,9.0,9.0,6.0
2017,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",3.1,2.6,2.1,1.7
2017,activity,"took part in sports, including exercise classes, going to the gym",3.4,2.1,2.2,2.5
2017,activity,watched live sporting event (not on tv),3.3,3.1,2.4,2.9
2017,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",5.2,4.5,1.9,2.8
2017,activity,"went to a special public event such as a festival, exhibition, etc.",3.2,2.8,1.7,2.3
2017,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",1.9,3.0,1.1,0.4
2017,activity,"went on days out to a beauty/health centre/spa, etc.",0.9,1.3,1.0,0.5
2017,activity,went on general days out/ to explore an area,7.6,6.4,5.7,5.4
2017,activity,went on day trips/excursions for another leisure purpose not mentioned above,2.2,2.9,1.9,2.1
2018,activity,visited friends or family for leisure,14.4,12.7,8.6,9.4
2018,activity,'special' shopping for items that you do not regularly buy,6.5,4.4,3.2,3.5
2018,activity,went out for a meal,13.8,11.9,6.2,5.5
2018,activity,"went on a night out to a bar, pub and/or club",6.5,6.4,3.5,2.2
2018,activity,"went out for entertainment – to a cinema, concert or theatre",4.4,4.2,2.2,2.5
2018,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",10.1,7.2,4.4,3.7
2018,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",2.8,2.5,2.3,1.3
2018,activity,"took part in sports, including exercise classes, going to the gym",3.6,2.1,1.8,1.2
2018,activity,watched live sporting event (not on tv),3.0,2.9,2.8,2.6
2018,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",4.6,4.6,2.9,1.7
2018,activity,"went to a special public event such as a festival, exhibition, etc.",1.9,2.3,1.7,0.7
2018,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",1.8,1.1,1.1,0.9
2018,activity,"went on days out to a beauty/health centre/spa, etc.",1.2,0.5,0.5,0.4
