"activity","total","male","female","16-24","25-34","35-44","45-54","55-64","65+","married","not married","yes","no","access to car (1+)","no access to car (0)","ab","c1","c2","de","employed/self-employed (full or part time)","in full or part time education","unemployed/not working",
"visited friends or family for leisure","48.7","19.8","28.9","9.3","9.5","5.1","6.0","8.7","10.1","27.0","21.7","15.0","33.7","40.4","8.3","10.4","13.1","10.6","14.6","24.6","3.8","8.1",
"'special' shopping for items that you do not regularly buy","19.7","6.6","13.1","2.3","3.5","3.7","2.7","4.2","3.3","12.6","7.1","6.4","13.2","16.7","3.0","5.1","5.0","4.9","4.6","11.6","1.9","2.4",
"went out for a meal","33.2","13.5","19.7","5.0","4.5","4.3","5.2","6.7","7.5","18.8","14.4","7.9","25.3","27.3","5.9","11.1","8.7","6.9","6.5","18.4","2.9","2.9",
"went on a night out to a bar, pub and/or club","17.8","9.3","8.5","3.3","3.6","2.8","2.4","3.1","2.7","9.4","8.4","5.0","12.8","14.4","3.4","5.1","4.2","4.5","4.0","11.2","1.7","1.7",
"went out for entertainment – to a cinema, concert or theatre","12.7","6.6","6.2","2.2","2.8","3.2","1.5","2.2","0.9","7.0","5.7","4.4","8.3","11.0","1.8","2.7","3.1","3.2","3.7","8.6","1.4","1.5",
"undertook outdoor leisure activities such as walking, cycling, golf, etc.","29.9","13.8","16.2","4.8","5.5","3.7","4.4","4.4","7.0","16.5","13.4","8.3","21.6","23.3","6.6","7.2","8.3","5.9","8.5","15.1","3.5","4.0",
"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)","10.7","4.9","5.7","2.7","3.3","1.6","1.3","0.7","0.9","5.1","5.6","4.9","5.8","7.5","3.2","3.6","2.7","2.3","2.0","7.0","1.5","1.7",
"took part in sports, including exercise classes, going to the gym","7.4","4.2","3.2","1.8","1.9","1.6","0.8","0.5","0.7","4.4","3.0","2.9","4.5","6.3","1.0","3.2","1.9","0.8","1.6","5.2","0.6","0.8",
"watched live sporting event (not on tv)","12.6","9.1","3.4","1.6","3.5","2.1","1.3","1.5","2.4","7.4","5.1","4.3","8.2","10.0","2.6","3.7","3.0","2.4","3.6","8.2","1.1","1.3",
"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.","13.1","6.5","6.5","2.6","3.1","2.4","1.2","1.9","1.9","8.4","4.7","5.9","7.1","10.8","2.3","3.4","4.0","2.2","3.4","8.6","1.2","1.0",
"went to a special public event such as a festival, exhibition, etc.","8.3","3.8","4.5","2.3","1.6","1.6","0.6","0.9","1.3","3.7","4.6","2.7","5.6","6.5","1.8","3.3","1.9","1.1","2.0","3.9","1.8","1.0",
"went to a special event of a personal nature such as a wedding, graduation, christening, etc.","5.9","2.4","3.5","1.2","1.8","0.6","0.7","0.5","1.1","2.5","3.4","2.4","3.5","4.2","1.6","1.3","1.5","0.6","2.5","3.0","0.7","0.8",
"went on days out to a beauty/health centre/spa, etc.","4.9","2.2","2.6","1.7","1.0","1.5","0.3","0.2","0.1","3.6","1.3","3.2","1.6","4.1","0.7","1.2","1.4","1.5","0.7","3.7","0.6","0.4",
"went on general days out/ to explore an area","23.8","9.7","14.1","4.7","4.2","3.5","3.4","4.0","4.1","12.8","11.0","8.1","15.7","19.6","4.3","5.0","7.1","4.8","6.9","12.0","2.7","3.2",
"went on day trips/excursions for another leisure purpose not mentioned above","8.8","3.7","5.1","1.3","1.7","1.4","1.4","1.1","1.8","5.1","3.7","4.1","4.7","7.6","1.2","3.0","2.0","1.6","2.1","5.3","1.0","0.8",
