"place","total","male","female","16-24","25-34","35-44","45-54","55-64","65+","married","not married","yes","no","access to car (1+)","no access to car (0)","ab","c1","c2","de","employed/self-employed (full or part time)","in full or part time education","unemployed/not working",
"type of place visited","","","","","","","","","","","","","","","","","","","","","","",
"city/large town","58.7","28.3","30.5","11.5","11.0","9.4","8.0","9.9","8.7","34.3","24.5","19.1","39.6","47.3","11.4","16.9","14.4","11.8","15.7","35.4","6.1","6.8",
"small town","36.5","17.1","19.4","6.1","7.1","5.7","4.8","6.4","6.4","22.9","13.6","12.5","24.0","30.2","6.2","7.8","10.0","8.7","10.0","20.0","3.0","5.4",
"village","16.3","6.8","9.5","4.4","2.4","2.4","1.9","2.1","3.0","8.5","7.8","5.3","10.9","13.5","2.7","4.2","4.6","3.2","4.2","8.0","2.3","2.2",
"rural countryside","18.7","8.4","10.3","3.0","2.8","2.1","2.4","3.6","4.6","11.7","6.9","4.9","13.8","16.3","2.4","5.4","4.7","4.4","4.2","9.5","2.0","1.5",
"seaside resort or town","9.0","4.3","4.6","1.2","1.2","0.8","1.4","1.2","3.2","4.8","4.2","2.3","6.7","8.0","1.0","2.2","1.8","1.9","3.0","3.6","0.8","1.3",
"seaside coastline - a beach","6.7","3.7","3.0","1.5","1.4","1.0","0.6","1.1","1.1","2.9","3.8","2.2","4.5","5.2","1.5","2.7","1.8","0.9","1.4","3.6","0.8","1.3",
"other seaside coastline","1.4","0.6","0.8","0.1","0.3","0.2","0.1","0.5","0.2","1.0","0.4","0.6","0.8","1.4","-","0.4","0.4","0.4","0.2","0.7","-","0.2",
