place,total,male,female,16-24,25-34,35-44,45-54,55-64,65+,married,not married,yes,no,access to car (1+),no access to car (0),ab,c1,c2,de,employed/self-employed (full or part time),in full or part time education,unemployed/not working,
city/large town,65.1,29.4,35.7,13.8,13.0,9.4,13.2,8.9,6.7,39.3,25.8,16.9,48.1,51.8,13.2,23.0,20.4,13.0,8.7,43.3,9.1,14.2,
small town,43.4,20.1,23.3,7.9,8.1,7.0,7.2,4.1,9.2,28.1,15.3,10.5,32.9,37.2,6.2,14.5,13.5,8.2,7.2,28.1,3.7,12.2,
village,18.1,8.6,9.4,4.4,4.0,2.7,2.8,2.0,2.1,11.5,6.6,5.5,12.6,15.7,2.4,5.1,7.1,4.1,1.8,12.4,2.0,4.0,
rural countryside,24.1,12.2,11.9,3.9,3.6,3.8,4.2,4.9,3.7,16.5,7.6,4.0,20.1,20.4,3.7,9.0,8.7,2.9,3.4,15.3,2.1,7.0,
seaside resort or town,9.9,5.0,4.9,1.8,1.8,0.8,2.1,2.0,1.2,6.8,3.1,3.1,6.8,8.5,1.3,2.9,3.1,3.2,0.7,6.2,1.1,2.8,
seaside coastline - a beach,6.9,3.4,3.6,1.1,1.7,1.1,1.3,1.1,0.5,4.4,2.6,2.4,4.6,5.9,1.1,1.8,2.3,1.7,1.2,4.9,0.6,1.6,
other seaside coastline,2.2,1.3,0.8,0.3,0.2,0.2,0.5,0.5,0.5,1.5,0.7,0.2,1.9,1.9,0.2,0.8,0.9,0.2,0.3,1.1,0.4,0.7,
other,3.4,1.5,1.9,0.4,0.4,0.6,0.6,0.7,0.7,2.7,0.7,1.1,2.3,2.5,0.8,1.3,0.8,0.7,0.5,1.5,0.5,1.5,
