place,total,male,female,16-24,25-34,35-44,45-54,55-64,65+,married,not married,yes,no,access to car (1+),no access to car (0),ab,c1,c2,de,employed/self-employed (full or part time),in full or part time education,unemployed/not working,
city/large town,68.4,31.9,36.5,15.0,11.7,9.6,11.7,9.8,10.7,38.1,30.2,16.3,52.1,53.4,14.9,21.0,22.9,14.0,10.3,39.3,8.5,23.2,
small town,37.4,16.7,20.7,6.4,6.3,5.4,6.3,5.4,7.6,24.7,12.7,10.7,26.8,31.1,6.3,12.2,11.4,6.6,7.2,20.2,3.1,14.7,
village,16.7,8.5,8.3,1.8,3.7,2.4,2.9,2.9,3.2,11.4,5.3,4.4,12.4,14.3,2.5,5.3,5.2,3.1,3.2,10.0,1.2,5.9,
rural countryside,20.7,10.7,10.0,3.3,3.1,3.5,3.8,3.1,3.9,13.6,7.1,5.9,14.8,16.7,4.0,7.5,6.3,3.2,3.8,11.9,1.7,7.3,
seaside resort or town,8.8,3.9,4.9,1.0,1.5,0.6,1.7,1.6,2.3,5.4,3.4,1.7,7.1,7.6,1.2,2.9,2.4,1.6,1.8,4.0,1.2,3.9,
seaside coastline - a beach,5.0,2.7,2.3,1.3,1.3,0.6,0.8,0.6,0.5,3.7,1.4,1.8,3.2,4.2,0.8,1.4,1.0,1.0,1.6,3.2,0.6,1.5,
other seaside coastline,2.9,1.1,1.7,0.4,0.0,0.3,0.2,1.0,0.9,1.8,1.1,0.1,2.7,2.2,0.7,0.7,1.1,0.1,0.9,1.0,0.4,1.7,
other,2.4,0.8,1.6,0.4,0.4,0.5,0.4,0.2,0.5,1.3,1.1,0.9,1.5,1.9,0.5,0.6,0.6,0.6,0.5,1.0,0.2,1.2,
