"place","total","male","female","16-24","25-34","35-44","45-54","55-64","65+","married","not married","yes","no","access to car (1+)","no access to car (0)","ab","c1","c2","de","employed/self-employed (full or part time)","in full or part time education","unemployed/not working",
"city/large town","70.1","36.2","33.9","18.3","13.4","11.0","9.0","9.3","9.0","33.5","36.6","22.7","47.4","58.0","12.1","26.2","19.0","12.3","12.7","43.2","7.1","8.4",
"small town","40.0","18.7","21.3","11.5","7.5","4.5","4.8","6.4","5.3","21.5","18.5","14.0","26.0","34.5","5.5","14.2","10.4","8.3","7.1","24.6","3.9","4.4",
"village","18.7","11.0","7.7","4.9","6.4","1.9","1.5","1.8","2.3","9.2","9.5","8.2","10.5","16.8","1.9","4.9","6.1","3.7","4.0","11.0","2.9","1.7",
"rural countryside","21.0","8.9","12.0","2.5","4.2","2.5","2.6","5.2","4.0","12.8","8.2","3.5","17.5","17.3","3.6","7.7","5.0","5.2","3.1","11.6","1.6","1.7",
"seaside resort or town","9.2","4.6","4.6","1.3","1.5","0.8","1.3","1.3","2.9","5.4","3.8","2.3","6.9","7.6","1.6","2.2","2.8","2.1","2.1","4.3","0.9","0.7",
"seaside coastline - a beach","8.3","4.6","3.7","1.3","2.2","0.3","2.1","1.4","1.0","5.3","3.0","1.3","7.0","7.0","1.3","2.1","2.2","2.5","1.5","5.3","1.5","0.2",
"other seaside coastline","1.7","1.3","0.4","0.7","0.5","0.4","-","0.1","0.1","0.7","1.0","1.2","0.6","1.7","-","0.4","0.1","0.4","0.9","0.9","0.4","0.3",
