"place","total","male","female","16-24","25-34","35-44","45-54","55-64","65+","married","not married","yes","no","access to car (1+)","no access to car (0)","ab","c1","c2","de","employed/self-employed (full or part time)","in full or part time education","unemployed/not working",
"type of place visited","","","","","","","","","","","","","","","","","","","","","","",
"city/large town","61.1","28.3","32.9","11.6","10.2","9.5","8.0","11.5","10.3","35.4","25.7","15.6","45.5","50.5","10.6","22.9","18.6","10.0","9.7","33.8","8.7","4.8",
"small town","38.6","17.0","21.6","6.4","7.4","7.5","4.2","6.8","6.3","23.6","15.0","10.3","28.4","32.4","6.3","11.9","12.0","7.6","7.1","21.2","4.9","4.0",
"village","16.8","6.9","9.9","2.9","2.9","3.2","2.2","2.6","3.0","9.4","7.4","3.8","13.0","14.7","2.1","4.6","4.8","3.7","3.7","9.9","1.1","1.2",
"rural countryside","21.5","10.2","11.3","4.2","3.3","3.4","2.1","3.8","4.7","14.0","7.4","4.2","17.3","18.7","2.8","8.5","5.9","4.1","3.0","11.6","2.4","1.4",
"seaside resort or town","7.2","3.0","4.2","0.4","1.0","1.4","0.8","1.0","2.6","4.8","2.3","2.0","5.1","6.2","1.0","2.9","1.9","1.5","0.8","4.0","0.3","0.2",
"seaside coastline - a beach","4.6","2.3","2.3","0.4","1.1","0.3","0.8","0.6","1.4","2.7","2.0","1.0","3.7","3.9","0.8","2.2","0.9","0.7","0.8","2.3","0.5","0.1",
"other seaside coastline","2.0","1.4","0.6","0.3","0.5","0.3","0.2","0.3","0.4","1.0","1.0","0.5","1.5","1.5","0.5","0.6","0.8","0.2","0.4","1.0","0.3","0.1",
