year,month,married,single,separated/widowed/divorced
2016,january,404.0,63.1,49.4
2016,february,484.7,199.5,156.5
2016,march,799.4,220.2,106.2
2016,april,731.9,219.4,59.2
2016,may,634.7,443.5,112.3
2016,june,543.8,219.7,107.7
2016,july,726.5,208.9,161.8
2016,august,989.4,232.7,121.4
2016,september,509.0,209.4,57.4
2016,october,550.8,267.1,127.6
2016,november,585.1,177.8,50.8
2016,december,660.9,159.6,162.1
