month,yes,no
jan 2007,189,433
feb 2007,246,456
mar 2007,466,539
apr 2007,477,688
may 2007,365,875
jun 2007,274,815
jul 2007,466,752
aug 2007,580,775
sep 2007,309,792
oct 2007,451,650
nov 2007,246,765
dec 2007,282,806
