year,type,action,yes,no
2011,activity,visited friends or family for leisure,11.5,42.4
2011,activity,'special' shopping for items that you do not regularly buy,4.7,8.7
2011,activity,went out for a meal,7.9,31.3
2011,activity,"went on a night out to a bar, pub and/or club",5.8,18.3
2011,activity,"went out for entertainment – to a cinema, concert or theatre",3.7,7.6
2011,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",5.4,20.4
2011,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",1.4,6.7
2011,activity,"took part in sports, including exercise classes, going to the gym",2.2,4.1
2011,activity,watched live sporting event (not on tv),2.3,6.0
2011,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",3.0,8.1
2011,activity,"went to a special public event such as a festival, exhibition, etc.",1.4,5.4
2011,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",1.2,4.1
2011,activity,"went on days out to a beauty/health centre/spa, etc.",1.3,2.2
2011,activity,went on general days out/ to explore an area,4.3,15.9
2011,activity,went on day trips/excursions for another leisure purpose not mentioned above,2.1,6.4
2012,activity,visited friends or family for leisure,11.5,43.9
2012,activity,'special' shopping for items that you do not regularly buy,5.8,15.9
2012,activity,went out for a meal,8.2,34.2
2012,activity,"went on a night out to a bar, pub and/or club",6.0,19.6
2012,activity,"went out for entertainment – to a cinema, concert or theatre",4.2,12.1
2012,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",7.0,22.2
2012,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",2.1,8.4
2012,activity,"took part in sports, including exercise classes, going to the gym",2.1,4.7
2012,activity,watched live sporting event (not on tv),3.8,8.1
2012,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",3.0,9.1
2012,activity,"went to a special public event such as a festival, exhibition, etc.",1.4,4.4
2012,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",1.7,4.6
2012,activity,"went on days out to a beauty/health centre/spa, etc.",0.7,1.0
2012,activity,went on general days out/ to explore an area,5.3,15.0
2012,activity,went on day trips/excursions for another leisure purpose not mentioned above,2.2,7.2
2013,activity,visited friends or family for leisure,10.8,36.4
2013,activity,'special' shopping for items that you do not regularly buy,4.7,12.7
2013,activity,went out for a meal,6.1,27.5
2013,activity,"went on a night out to a bar, pub and/or club",5.2,15.3
2013,activity,"went out for entertainment – to a cinema, concert or theatre",3.6,9.0
2013,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",5.7,19.0
2013,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",2.6,4.5
2013,activity,"took part in sports, including exercise classes, going to the gym",1.9,4.3
2013,activity,watched live sporting event (not on tv),3.3,6.4
2013,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",3.3,9.1
2013,activity,"went to a special public event such as a festival, exhibition, etc.",1.5,4.8
2013,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",1.6,2.8
2013,activity,"went on days out to a beauty/health centre/spa, etc.",0.6,0.5
2013,activity,went on general days out/ to explore an area,5.3,14.2
2013,activity,went on day trips/excursions for another leisure purpose not mentioned above,2.8,7.5
2014,activity,visited friends or family for leisure,11.5,35.5
2014,activity,'special' shopping for items that you do not regularly buy,3.4,16.2
2014,activity,went out for a meal,6.7,29.5
2014,activity,"went on a night out to a bar, pub and/or club",6.4,16.3
2014,activity,"went out for entertainment – to a cinema, concert or theatre",3.3,9.9
2014,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",4.4,20.3
2014,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",2.0,7.7
2014,activity,"took part in sports, including exercise classes, going to the gym",2.3,3.1
2014,activity,watched live sporting event (not on tv),3.1,7.4
2014,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",3.2,9.9
2014,activity,"went to a special public event such as a festival, exhibition, etc.",2.3,6.5
2014,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",2.3,2.7
2014,activity,"went on days out to a beauty/health centre/spa, etc.",0.5,1.5
2014,activity,went on general days out/ to explore an area,5.0,17.0
2014,activity,went on day trips/excursions for another leisure purpose not mentioned above,2.8,8.9
2015,activity,visited friends or family for leisure,14.1,38.3
2015,activity,'special' shopping for items that you do not regularly buy,5.7,12.7
2015,activity,went out for a meal,10.0,29.6
2015,activity,"went on a night out to a bar, pub and/or club",5.1,17.2
2015,activity,"went out for entertainment – to a cinema, concert or theatre",3.0,10.9
2015,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",5.6,21.6
2015,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",3.6,8.1
2015,activity,"took part in sports, including exercise classes, going to the gym",1.8,6.6
2015,activity,watched live sporting event (not on tv),3.3,10.7
2015,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",5.5,7.0
2015,activity,"went to a special public event such as a festival, exhibition, etc.",2.7,6.6
2015,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",1.1,4.8
2015,activity,"went on days out to a beauty/health centre/spa, etc.",0.4,1.9
2015,activity,went on general days out/ to explore an area,5.7,15.0
2015,activity,went on day trips/excursions for another leisure purpose not mentioned above,3.3,7.0
